w_n_eff,a_nes,t_nes
1.7273852,0.69387454,0.3678249
1.873816,0.85428274,0.27625445
1.9758357,0.82390124,0.06727436
1.9511164,0.8691198,0.20152482
1.9322714,0.94185364,0.2365542
1.4591025,1.225754,0.32122582
1.9772748,0.98064524,0.41317677
1.9064633,1.0923222,0.13145153
1.8922344,1.0797547,0.07263618
1.6218276,1.384543,0.09320498
1.6739032,1.3449422,0.20057294
1.915731,0.66204494,0.061942417
1.9993817,0.84469086,0.14524364
1.7417908,0.6725756,0.43161154
1.3416315,1.0499023,0.29633945
1.4339296,1.1171796,0.19241728
1.9450357,0.7713315,0.21789335
1.9749955,0.9738717,0.3396555
1.7361555,1.1851923,0.29058236
1.9656302,0.84414387,0.30084127
1.8110179,1.1836238,0.17301656
1.8484856,0.61612165,0.41345283
1.7986602,1.1337384,0.33882153
1.496308,0.87005514,0.18976468
1.408141,1.2811838,0.12992139
1.6218015,1.1019251,0.24858332
1.841601,0.97118413,0.3199541
1.9647509,0.777459,0.29022828
1.7964779,0.78497976,0.14266214
1.5751834,1.0973427,0.14920853
1.5320575,0.9659457,0.26336
1.7745261,0.8314841,0.096928515
1.7823081,1.358272,0.13242778
1.9528896,0.7774861,0.115467645
1.62184,1.1190226,0.37237045
1.6478789,1.0889661,0.34664786
1.5930088,0.9716724,0.17369443
1.540884,1.1835513,0.061187085
1.9294058,0.80805975,0.3598355
1.8804474,1.048772,0.08154491
1.8760964,1.1635624,0.24552816
1.632958,1.0857376,0.4969186
1.8590546,0.8873536,0.2777694
1.4763479,0.898803,0.33139148
1.9987984,1.3466041,0.1214973
1.9389428,1.0976382,0.16753203
1.8250216,0.926297,0.35809025
1.6627923,1.0014329,0.34372804
1.9008394,1.0342551,0.06642143
1.7154546,0.90868896,0.392512
1.8820277,1.2081647,0.2964544
1.6954064,1.050818,0.069579415
1.6737399,1.1709603,0.17088363
1.8371408,1.1214458,0.1339983
1.6441606,1.2072377,0.26137722
1.651786,0.86668235,0.41324276
1.9444095,1.1720966,0.4148715
1.4724178,1.1118174,0.34799
1.4459372,1.2504478,0.102438755
1.9558014,1.0576981,0.14697535
1.6576787,1.2595896,0.057142958
1.4073538,1.0684158,0.28388765
1.9794581,0.5969572,0.13426287
1.9075267,1.0208013,0.2587153
1.3038931,1.3198037,0.20495158
1.6360359,1.1292768,0.17490707
1.7976456,1.0413365,0.28365967
1.7392195,1.1712021,0.188083
1.5585992,1.114183,0.2533678
1.8625873,1.0181831,0.49076372
1.7437905,0.9013789,0.29781175
1.824073,0.8319938,0.24936254
1.4909391,1.2692757,0.094029024
1.8794364,1.0609236,0.36144894
1.8048369,0.87096345,0.45181882
1.775918,1.3554881,0.1492907
1.9186326,1.1118952,0.14100915
1.9378899,1.1101083,0.05002435
1.7475797,0.8946425,0.084304005
1.7728634,1.2608485,0.3047678
1.7996662,1.2572654,0.055423528
1.4614156,1.4678085,0.19241804
1.9464347,1.0834695,0.28014395
1.6557702,0.83062404,0.32170287
1.6656538,1.1883574,0.23987682
1.904948,1.246275,0.16124503
1.9328805,0.94816905,0.30450028
1.5571852,1.0084524,0.25088006
1.5970377,1.2674162,0.16398035
1.8485719,1.2225014,0.24420668
1.520641,1.0963341,0.34564233
1.9458792,1.1433789,0.056638278
1.5025498,1.021926,0.25137165
1.6510249,1.2861576,0.14908193
1.6979324,1.1331959,0.06919445
1.3724691,1.3347405,0.08247277
1.9799148,0.79847467,0.27476844
1.7893975,0.9666452,0.429304
1.9145296,1.366816,0.054546706
1.9200745,0.9480351,0.18482302
