trial,stimulus,outcome,choice,rt,trace,timeout,w_s,w_n,threshold_a,t,noise_std_dev,dt,max_time
0,go,Hit,1,0.5200,"[0.0, 0.00919601282769793, -0.0003075586780892387, -0.016342689406274043, 0.012292550224205938, 0.004642463299103547, 0.01072051562065354, 0.0411667430349729, 0.05183648845143056, 0.08819140627557877, 0.11203774749333999, 0.07793033019675441, 0.04484213548909294, 0.03883026466973202, 0.05204424315447602, 0.06098802553032306, 0.06204144992814392, 0.09367578400891372, 0.12517686816345594, 0.1113573184086282, 0.12248767143411844, 0.09368011479083711, 0.117421650323028, 0.12059087921827341, 0.13166431000943102, 0.1153612533885563, 0.12394852776214978, 0.17892335704292814, 0.21264196941566257, 0.20810331363167703, 0.21452866546018004, 0.22646522986886725, 0.2676801371824408, 0.32877262330248047, 0.3497775039445453, 0.335907437330728, 0.3690401532832493, 0.40192511635338235, 0.4263232467011102, 0.43881249948703893, 0.4757181236610067, 0.4641969253978436, 0.5024431377340475]",False,0.8000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
1,nogo,Correct Rejection,0,2.0000,"[0.0, -0.016121348514929842, -0.019266367277807023, -0.033520458997387016, -0.008631526270377648, -0.04379606556821933, -0.04957570163102176, -0.07071887497884335, -0.09513068711454337, -0.0929260381671363, -0.07117132536798515, -0.09215038160045445, -0.11845359073633566, -0.10917847065819045, -0.07012166069787917, -0.038353640717700095, -0.04697867840693592, -0.05840924713893699, -0.05838463234909451, -0.06671159188534259, -0.10295245461383784, -0.09557263858211237, -0.1106554145758035, -0.12051225807373897, -0.09181340274081587, -0.08586267144497862, -0.03185032884435279, -0.0338120600603724, -0.022052759908576976, -0.015649835127822496, 0.0033357448321162005, 0.013939572976691881, -0.0058508388572316855, -0.03430652736677725, -0.033359680197332174, -0.033468760374148754, -0.07732892800606006, -0.07917873946605336, -0.09732094152158939, -0.07480934193427768, -0.03300848247014879, -0.04843776371077094, -0.07988473373041038, -0.08564536202446957, -0.09753753335077725, -0.12087527412907956, -0.11536077866951021, -0.12807777123965305, -0.14472358480773748, -0.1644885369412361, -0.17988646602975494, -0.16663336841456797, -0.16910286322719625, -0.20090667063153217, -0.22167059845239348, -0.2154181794586484, -0.24954493495922583, -0.20413731323652887, -0.19334422473675664, -0.18314199642347254, -0.22140311711700375, -0.24659714084920661, -0.25329641869074204, -0.28781791100728443, -0.2941924799719398, -0.3181399139728124, -0.3137743080240964, -0.3329849876974781, -0.32827787255863417, -0.3521584617237211, -0.3188447535122514, -0.32460313025397314, -0.34866198226009393, -0.34193264007075164, -0.3455793309448567, -0.3561446825944807, -0.3586850250058464, -0.35770224772014764, -0.3689658943950355, -0.3959775547015201, -0.4175567595874304, -0.4317056943779543, -0.4231274337029544, -0.42811636810768683, -0.45766311794745446, -0.4375478890631731, -0.4131362625262091, -0.42430599782683814, -0.46896281580965027, -0.49258296424093306, -0.5027979341138511, -0.483122316300626, -0.494090267685288, -0.4785200663402879, -0.4920528843355887, -0.47591714295846815, -0.507351041526728, -0.5338866585420068, -0.5355693646547485, -0.5407738736806706, -0.5536574186642532, -0.5633383841789398, -0.5898524581687811, -0.5751732338070047, -0.5894977140282386, -0.587016306363974, -0.5724580683369072, -0.5794861734573434, -0.6110108134586012, -0.6328864715762391, -0.6151074056595551, -0.6025708441161273, -0.5852561843661184, -0.5920593599105675, -0.5751409767007416, -0.5989481521136197, -0.6334289084134721, -0.6405709732469006, -0.6543664195471389, -0.6255693036101228, -0.625243723282786, -0.6341946302397032, -0.6457379672424757, -0.6394312494541884, -0.6788549488792541, -0.6706878713547015, -0.6215327307520225, -0.6523116470064493, -0.6491216333620965, -0.6850313275586744, -0.6973783993841618, -0.7049666852224485, -0.7310729627428298, -0.7255173192214467, -0.7436019492457729, -0.7524177372821993, -0.7324402511142548, -0.7475208121436213, -0.7227608911854153, -0.7569082801204213, -0.7741696717356112, -0.7790566767503792, -0.7966968556164818, -0.8045988134656512, -0.8069116931389079, -0.8022439955713472, -0.7828357573313689, -0.7603986326512941, -0.7458695274540529, -0.754009728681629, -0.7533363491000089, -0.7472667654866577, -0.7261242123636743, -0.7387491702246272, -0.7731511596905981, -0.7858649154092808, -0.7887263963113107, -0.842118851947809, -0.8750830475682492, -0.854725402953269, -0.8437806039788802, -0.8384527264020373, -0.831351481071096, -0.8303452480368574, -0.8675664000744667, -0.9152306653072085, -0.9017790401973496, -0.9260895811378154, -0.9350255406516758, -0.9836357832897735, -0.9973211014760397, -0.9914417754999097, -1.0094063634129542, -1.0030467784165604, -1.000988659850759, -0.9731700578164624, -0.9721041538376007, -0.9699026139221564, -0.9230503924984638, -0.9435331096913319, -0.9526442886961694, -0.957290730784339, -0.97033055196813, -0.9468523456123215, -0.9286760014103412, -0.9210896252651726, -0.8903083719464365, -0.8946546476056286, -0.8727752265714463, -0.8851593665617841, -0.8941880652936574]",True,0.8000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
2,go,Hit,1,0.9200,"[0.0, 0.015592763809145451, -0.009652100303365527, 0.032994932483072156, 0.054079689010543296, 0.08209665325069493, 0.06970390695823123, 0.06422522025984705, 0.0759050289889169, 0.060425325042790246, 0.0463581114852053, 0.05261419651702648, 0.053473055100339555, 0.05815639003011368, 0.023661213185344546, 0.053927732033026185, 0.04378440205582587, 0.05714747018641324, 0.04797802990311429, 0.059572097029636964, 0.04515103022605042, 0.06610136873842617, 0.06446528499225176, 0.07472028507434424, 0.09083110881961362, 0.11099584132445903, 0.10534200093214931, 0.10834088896771456, 0.14806272843425067, 0.17285913706545675, 0.15945512560106317, 0.15936358873155088, 0.16548778453126778, 0.16441287515681227, 0.16252082072858132, 0.19212072149467976, 0.21965229937957048, 0.1981546350291763, 0.2060747290633769, 0.20373525285007393, 0.16164648734578577, 0.21521854166480767, 0.2145884855958942, 0.20466327735515993, 0.182953671299568, 0.21040440076476788, 0.22423900532731308, 0.2267062288682843, 0.23890806045251664, 0.2251349186426822, 0.2503389513057511, 0.2728108908309387, 0.27982361752771967, 0.26915291401761005, 0.25453522914917565, 0.2720905667987474, 0.2982232123695995, 0.32953849628902965, 0.3332850726558675, 0.305212572997239, 0.306709983484276, 0.3073278510248916, 0.3039495252045663, 0.3363739855999495, 0.33925031728489213, 0.33263260050352406, 0.3703660845858755, 0.38608448950496055, 0.37875641236701707, 0.3727788068756216, 0.36353224195712874, 0.366661355414713, 0.36828102748481256, 0.3895247303753286, 0.4087558606746976, 0.41230606951638366, 0.3876449027846392, 0.3967221476721713, 0.39687599985830524, 0.41797983801741784, 0.47233961111181216, 0.4859740902327593, 0.5103967697875255]",False,0.8000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
3,go,Hit,1,0.7200,"[0.0, 0.007912875152897014, 0.0312587336864749, 0.08090148725595459, 0.0798727107319614, 0.08488480675726702, 0.1036275709115987, 0.09613643813469969, 0.08369794480777447, 0.07290362240574222, 0.03742758909116585, 0.02352822764424955, 0.03310546114936998, 0.030440109080676243, 0.024137329144544896, 0.05727446379468296, 0.07116876959164836, 0.12070679834102038, 0.12572543659597918, 0.11400085923181537, 0.1206534140690472, 0.11532602841244347, 0.12015473359643235, 0.1479961179836373, 0.11760228696577876, 0.1173196045767794, 0.15562606069161303, 0.13200737678256266, 0.15364962737500104, 0.1829786658366255, 0.196044813663326, 0.2256446470099545, 0.2163710626215111, 0.2238365841127306, 0.23817431517631787, 0.2527074048290172, 0.2826320347094984, 0.3022836151854635, 0.2925261186493959, 0.32180148374048306, 0.3163966878919752, 0.3237570650389077, 0.35908019260018326, 0.329272535419219, 0.3464104145045141, 0.36295300308972117, 0.3902906040105202, 0.3886925211638612, 0.3744419837661335, 0.39191782637745687, 0.42471555580931813, 0.42349374904409665, 0.4278862058266604, 0.41878103753349016, 0.4257137895486575, 0.4153466523402974, 0.41690899834351786, 0.4737745971158532, 0.458846301058751, 0.46918885306188324, 0.4746125819779614, 0.4897369223004262, 0.5193707484625913]",False,0.8000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
4,go,Hit,1,0.8200,"[0.0, 0.024813749123963266, 0.03953594900734061, 0.029660060461365014, 0.05861923337198845, 0.11543726760377954, 0.128231882309137, 0.12663067493521243, 0.09622435846553379, 0.07152954396790534, 0.06588920356703537, 0.056001658573677116, 0.07208946217321768, 0.0917908184515542, 0.0933848157667113, 0.08256590639186276, 0.06262874755589608, 0.0890082708569207, 0.09297928518882927, 0.07195960225166464, 0.1058241319857182, 0.1298434183707093, 0.11293351459094926, 0.14657905947855185, 0.1591822184603335, 0.16158704486947956, 0.20895602443865333, 0.16859977956947653, 0.19861354223483657, 0.23170755269216417, 0.24627255855944252, 0.2533375217118823, 0.25575904138775807, 0.2500220288349322, 0.2920356598191209, 0.27762706374945917, 0.3044689269958278, 0.2707340742120101, 0.27693905807737784, 0.32452191544495995, 0.30349111572515575, 0.28522448518206356, 0.26836387577727894, 0.24706554962631744, 0.2868464695463456, 0.3020127906071428, 0.3277976102827716, 0.3177427569029309, 0.32952480425571756, 0.3026156627005592, 0.26554180099266955, 0.2735022370008485, 0.277987883152465, 0.26853051375449777, 0.26980686258611447, 0.29955045196545615, 0.30514570950954517, 0.3022290600341083, 0.31587059331868567, 0.34808630155944187, 0.3772197642636451, 0.3830756722409204, 0.3830245401141379, 0.37806846496187074, 0.3976507694915831, 0.3873624477162785, 0.3983918695229061, 0.4258831306374463, 0.4296412260966791, 0.43335469326582504, 0.46624844479237937, 0.44266112020926596, 0.508489088911418]",False,0.8000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
5,go,Hit,1,0.4300,"[0.0, 0.03643718323146958, 0.057007007587450635, 0.07678865855769489, 0.12328452303487941, 0.12831666609490242, 0.0935256537777137, 0.06368712443281033, 0.08897408775568211, 0.105442528682306, 0.0961419946724367, 0.13345244668761158, 0.1416420124873967, 0.17499846185927076, 0.157057349219943, 0.17475262337831668, 0.21083363588873436, 0.23860240689194362, 0.2319972692379859, 0.25316033984105, 0.26469546991827453, 0.27938662384660706, 0.3211616449066402, 0.32229457109003357, 0.31224717365079113, 0.33745831171766333, 0.3515692285192037, 0.37190386511764495, 0.40882027427093137, 0.4329649064673698, 0.465757526044241, 0.44775908123272407, 0.4661683493409386, 0.5122348161306118]",False,0.8000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
6,go,Hit,1,1.0000,"[0.0, 0.018022527566708045, 0.07716692162440622, 0.08133757618807715, 0.08337429667723739, 0.08254883597421282, 0.07052398904615721, 0.042778077457349545, 0.041859795761397575, 0.06057996442844095, 0.09244913520720711, 0.09861469515495452, 0.09452229595595138, 0.09020600739345694, 0.06648564997154524, 0.07287467105421405, 0.09183643709827656, 0.10132712716215783, 0.09859671270877196, 0.13301674246005352, 0.15187623608166956, 0.15530862478936647, 0.1769615227326824, 0.18363669991309203, 0.1683173294585402, 0.15463717184033324, 0.1787800785745994, 0.16637660734050855, 0.19834512502600488, 0.176807525941445, 0.18022738906329033, 0.17149469287648922, 0.1906404456715041, 0.18746807069759497, 0.18523687545655676, 0.1794204402723553, 0.16496632869872271, 0.15161191084056214, 0.15907954027710883, 0.1679590000476572, 0.15161295719118933, 0.15747032822402432, 0.18281130461579534, 0.19056924226742847, 0.21757508840805836, 0.1991086748526919, 0.21227256160613772, 0.24009106843565053, 0.22519115604310042, 0.22630892337772018, 0.2936856843098365, 0.29015586810358507, 0.27446997687191965, 0.2783839894897077, 0.290946874256574, 0.2905594490894548, 0.3229568618215136, 0.3342487893550281, 0.3630496786947526, 0.36541468011545275, 0.3616221548173152, 0.36999102414885854, 0.41726887701462134, 0.4110168222431922, 0.4223615820853485, 0.4163160472928559, 0.4267223538579683, 0.41597649351426536, 0.4404835620863835, 0.4699320206171314, 0.48244359297772016, 0.46523893652328085, 0.4432903474208085, 0.44443925087283503, 0.4326907892030203, 0.4349057883500976, 0.44614780837249085, 0.45988159938741857, 0.45119664680757626, 0.4524071103859415, 0.4644576513368918, 0.4466114462694372, 0.4491792568308718, 0.43640872249275436, 0.4460429126922879, 0.45884606838354564, 0.4685358321491967, 0.46422769753614734, 0.47836762204759853, 0.4780263295977727, 0.5178089269181786]",False,0.8000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
7,go,Hit,1,0.7900,"[0.0, -0.025408116238210744, -0.013210443856253192, 0.04108865013796273, 0.053525322842906634, 0.08027094213598628, 0.07409562951920243, 0.05037491375305724, 0.08110803415982966, 0.08047919567171902, 0.11755471338184986, 0.16515807786221354, 0.17970259528367602, 0.20179247727506983, 0.20025035967320115, 0.17741563871421676, 0.15396077872867112, 0.13950740146320773, 0.1407450134051873, 0.13029453821016648, 0.12118017612867563, 0.14021112784294837, 0.15886827650729157, 0.15212312987041898, 0.14937800700224269, 0.16106121970162168, 0.14725258441143965, 0.12380022337139673, 0.12259837867429914, 0.10047795894919939, 0.09182427460641272, 0.10190881158318017, 0.09061007376320146, 0.1089477520946989, 0.11986186025106739, 0.12175511158953807, 0.1339854534557106, 0.1518062153547488, 0.15695442245643637, 0.15400961661591478, 0.14057366421342143, 0.16696735014137534, 0.1619220600154399, 0.15708935831737014, 0.19533858552991012, 0.22110359230071858, 0.20872178211941333, 0.23864691879529518, 0.2863193818954066, 0.29221779828809685, 0.30951112074432974, 0.30994298609590315, 0.31171058629038256, 0.3156828337376779, 0.3269749564409815, 0.2988588508822853, 0.31764504065950544, 0.33218726375565233, 0.3512413486347308, 0.35361704832731855, 0.354397545680288, 0.3453298763056187, 0.377956606406917, 0.3990296731496474, 0.4209085875104867, 0.4347662430040431, 0.46713417327674384, 0.46878101984670595, 0.4938362000114195, 0.5485914934742645]",False,0.8000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
8,go,Hit,1,0.5000,"[0.0, 0.04302125416688253, 0.08287892484271507, 0.05942469426059712, 0.07501805746820954, 0.10486390668197687, 0.1622418607036606, 0.1633992137392959, 0.13047789119800932, 0.18264086438298657, 0.2080621607360537, 0.2037603177910197, 0.17063590296047748, 0.19339554735699405, 0.21552636025890304, 0.2669686909580117, 0.2879158513995932, 0.33147700888902654, 0.33778837613924834, 0.3739877802232998, 0.3805950822015638, 0.3711628780186731, 0.378111423178417, 0.37790831947889625, 0.4161517762094737, 0.44073330877261185, 0.435295637209391, 0.4577347964426214, 0.45723912275808165, 0.45112558847875117, 0.4142235766636488, 0.396587770838343, 0.41843515393832365, 0.44927979118191996, 0.450644705759066, 0.42185365193995855, 0.41757487800566023, 0.40755158652180823, 0.44218019394752295, 0.47795304202588385, 0.5362100606146322]",False,0.8000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
9,go,Hit,1,0.4500,"[0.0, -0.004718518682432353, 0.027170131364668594, 0.03564796725614497, 0.04704427744378316, 0.031996996878447016, 0.0844306845787306, 0.09572560243614218, 0.10941309379144151, 0.13022241207456256, 0.10329421122738544, 0.10914191851109636, 0.12212949899493614, 0.13377479041641063, 0.17242435142179052, 0.1833877492736399, 0.21488703660774972, 0.22598327354463088, 0.2179601647518485, 0.24747656297282106, 0.23332048452415127, 0.2584356724382324, 0.28494645319551737, 0.27975294160095954, 0.27237843662832506, 0.28223253961167916, 0.28205295480950937, 0.281709967249128, 0.28661771974781364, 0.2965927713166222, 0.3305790186134056, 0.3757151238557067, 0.41168709604382003, 0.43147894451930013, 0.48465868913754345, 0.5054687043995391]",False,0.8000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
