trial,stimulus,outcome,choice,rt,trace,timeout,w_s,w_n,threshold_a,t,noise_std_dev,dt,max_time
0,go,Hit,1,0.8000,"[0.0, 0.004282276980234901, -0.0034967407963638645, -0.019813440968292507, -0.06391009287784265, -0.05937998867820409, -0.045964148149826974, -0.04243307121062562, -0.018089639979594237, -0.037775336550842045, -0.021871534420478504, -0.008516130120137164, 0.012076298839577556, 0.014368062950692486, 0.04144019867480309, 0.057871972923293144, 0.06969096181567361, 0.05653699055902108, 0.05015881748580903, 0.05717931269791249, 0.05822480012623906, 0.06389898517802198, 0.05854131300705505, 0.06460522790321366, 0.02370200095720766, 0.03441109146720733, 0.06586149677652342, 0.06246510891812618, 0.03156027640954332, 0.03507071862756217, 0.024947902960535284, 0.04290678003702977, 0.07566862236652572, 0.07166520125442274, 0.08514520234157498, 0.11272283775043741, 0.12552943956885304, 0.15181354631873414, 0.15886421475554782, 0.19191000529220018, 0.20800261987732677, 0.2450075261116664, 0.26411001101767334, 0.2652356964635493, 0.29768749060068617, 0.25595421412380925, 0.290061716246426, 0.3019645965735349, 0.3121358909898479, 0.3217316410485286, 0.33931638301276595, 0.3317707476907424, 0.34006672323617687, 0.36504919225459687, 0.36605573628503596, 0.35025071166668503, 0.37412061261687535, 0.39804619498830135, 0.38473121640172686, 0.3987788933678849, 0.40447064997855275, 0.3982757112517925, 0.4069981305474419, 0.39568455371445455, 0.4236609545348103, 0.4249603817856269, 0.43586618782719355, 0.43600383024134914, 0.4771786771564931, 0.4949266776479083, 0.5158852380632118]",False,0.6000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
1,nogo,Correct Rejection,0,2.0000,"[0.0, -0.014891281978005213, -0.03686437238848118, -0.07003061008770528, -0.09785988828301434, -0.08226077348551422, -0.07815863000644463, -0.10621268635059004, -0.12847205824514715, -0.14966286707629725, -0.16342190147167354, -0.15549852876334608, -0.15903232874945086, -0.16967709994378238, -0.17133655372049, -0.15084907780989462, -0.14328761245136526, -0.10007441138904107, -0.10295657836143, -0.11727978573115784, -0.11199286220336366, -0.11631835664573528, -0.15701925181892012, -0.17273937996883393, -0.170919010214868, -0.16579401214395062, -0.15603897612026757, -0.17089279991796852, -0.1348726970015271, -0.1218451375883122, -0.14830166565356587, -0.14987151385274403, -0.1713375663257605, -0.18945108734830027, -0.1982959375283008, -0.24346906036574983, -0.23200874243914504, -0.24883312017948137, -0.2355867111312405, -0.2707869328823324, -0.30104071480888633, -0.3034530237633231, -0.29868332729205066, -0.3244280507494139, -0.32129872108789076, -0.32204283603117206, -0.33702867220936816, -0.3313573096893638, -0.3303281071968279, -0.3018388901973826, -0.28082128150753327, -0.3124017891446824, -0.29698628088212464, -0.32736850094075176, -0.34373980855567093, -0.35426508684945823, -0.3477672721979756, -0.34597164432555544, -0.3646330106920548, -0.381149984478182, -0.39093029974938687, -0.3804338991168144, -0.38739865430006626, -0.3884713061625669, -0.3817019359556712, -0.36014435522879484, -0.3456417774628849, -0.3656749395316435, -0.3982891295236614, -0.3939027406296821, -0.40215650893022664, -0.4034575931353107, -0.3874654617212834, -0.4015540019607833, -0.4018387048042031, -0.40766773611297, -0.4194429646911641, -0.4226293635515737, -0.4225007847478311, -0.43825953787610017, -0.46021915581217204, -0.4709500872478912, -0.42949732229566867, -0.4155407387668697, -0.4153839032581864, -0.4423670125585194, -0.43648833943783405, -0.45677043469824236, -0.4630340684845925, -0.4720384020602857, -0.458242526172322, -0.4811514001967597, -0.472038034287099, -0.4882549666009385, -0.4836322819095848, -0.5086837926252832, -0.48642390636837385, -0.49472650929064715, -0.47017726934674736, -0.4835563811883917, -0.502788836030978, -0.4936909028598199, -0.5313226836172471, -0.5466659348186583, -0.5626020837611369, -0.5896741081093548, -0.5920144044644047, -0.5642323978199523, -0.5841063988505947, -0.6096015829428676, -0.6165255225410704, -0.646431337203003, -0.6371154410434205, -0.6374833591251611, -0.6526156747988806, -0.6635299178863993, -0.6548495182406576, -0.6694903027185881, -0.6955705990780361, -0.7078403645899476, -0.715338329038302, -0.7149352437814497, -0.7470881586754862, -0.7323485638845185, -0.7156497746855113, -0.740111286839802, -0.7526905065588082, -0.7341254643209459, -0.7353290393717928, -0.7564416597739638, -0.7688161619225106, -0.7694173482868457, -0.7385798077258645, -0.7145922659373786, -0.7090385806217148, -0.7198630447119141, -0.7713446375987704, -0.7535460942256721, -0.7429761486913983, -0.7447029926324437, -0.7387932918147431, -0.7639343430668016, -0.777743548776163, -0.762085731703708, -0.7848821006944139, -0.7906217431473429, -0.7785404464492371, -0.7884085522013562, -0.7987078069510058, -0.8044817694762515, -0.8280844348541128, -0.7841348985774114, -0.7582515175397339, -0.7756343223160059, -0.7610232903630574, -0.7819392783476448, -0.7585032467151354, -0.7863553086974537, -0.7838178675135803, -0.7808560080625909, -0.8035534737757634, -0.8021482448390003, -0.7920556090814208, -0.7844635637188689, -0.788788644313766, -0.8182853504141602, -0.8066599178656906, -0.8170826092444934, -0.8249129078647411, -0.8105715158422417, -0.7671685444179562, -0.81572979563538, -0.8057392705398395, -0.8323813671829351, -0.8325265565075584, -0.8216452895099259, -0.8327853290495227, -0.8611091699313811, -0.8763817493235206, -0.8921249763828909, -0.8757866415843224, -0.9197898884919566, -0.9303777363687332, -0.9372696252272976, -0.9272646255659949, -0.920058590888581, -0.9281060848276135, -0.9473963871024822, -0.9554534739525974, -0.995737315486502, -0.9670492056611601]",True,0.6000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
2,go,Hit,1,1.1100,"[0.0, 0.0400938381631359, 0.03548997080744681, 0.04057847011376454, 0.03799646058937694, 0.03665530156188759, 0.07291819661176371, 0.09974274780128367, 0.11956569285112335, 0.13095941738616013, 0.1344289734831263, 0.10363443179133736, 0.1164450844849772, 0.07512894712267015, 0.09145361405825617, 0.0698047145824932, 0.06301003403508006, 0.06213614764943602, 0.05607849593990651, 0.0491917550613202, 0.0728356459925586, 0.07040592393337307, 0.06992820811921852, 0.06256640312676182, 0.04188345588987638, 0.005502695481025638, 0.025518290594575957, 0.02468795172500541, 0.02232464519863682, 0.04093804446704313, 0.07670077019212071, 0.10964615875225044, 0.15553839484968388, 0.1364491837663701, 0.14615075107505957, 0.15043110443662674, 0.15782031769167656, 0.1362663360363788, 0.17741059449485513, 0.15801692482906687, 0.13201617415871522, 0.13178755643443973, 0.11945382862493621, 0.09515050390510368, 0.09739646452051702, 0.09062159047950188, 0.09282760854118895, 0.0856120366015571, 0.05732810228920614, 0.028989423291054466, 0.053150787637701855, 0.07736821436048197, 0.06494043095671254, 0.059248697674635455, 0.08681698991939019, 0.10134011194329626, 0.10612666814154077, 0.09178165455387563, 0.06542320388316389, 0.09022088869886807, 0.08942634777179109, 0.10628183701907988, 0.11502169702040262, 0.09262976094784772, 0.069179367205642, 0.10029445091318656, 0.08136431721179374, 0.0989841890863742, 0.11597143828947781, 0.11483933019551397, 0.11096997568720968, 0.12813826441407997, 0.13453434486489957, 0.15798238471344783, 0.20023484064102903, 0.19280272490660022, 0.17681554528873789, 0.17001445423800304, 0.1845622180046921, 0.1928489256676846, 0.2709485006453109, 0.2736461728632195, 0.2595189693128908, 0.25584412038268817, 0.2550635301188093, 0.2454163987822676, 0.2347356014290682, 0.2257044701073601, 0.23925607946850388, 0.22747662536764787, 0.2541584232391421, 0.26167772938526374, 0.2702927535068723, 0.31692351937793684, 0.33833785227531316, 0.39484100285714435, 0.4000890148291134, 0.45766522113409747, 0.4707088514185813, 0.4466397254083397, 0.4821506158412339, 0.5172682016842371]",False,0.6000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
3,go,Hit,1,0.9500,"[0.0, -0.009195501808848709, 0.040014429921252995, 0.049075784266447875, 0.09149158181080053, 0.07707673757889631, 0.09784259217650784, 0.08261980223723459, 0.08090133455442639, 0.08724891979371986, 0.09641811371057725, 0.11240916618012786, 0.0802100296334492, 0.07096082214658687, 0.10447164931621031, 0.08473846569759771, 0.09429142934468651, 0.05872710479297595, 0.07965083805232329, 0.05853869824814672, 0.07038452017094557, 0.07140831225905231, 0.07667277203857759, 0.08823361455581201, 0.10047480229466182, 0.10211238882824591, 0.1274712381098161, 0.10407799597264056, 0.08698827815510171, 0.10196202266702278, 0.12693835084811367, 0.12071221070975796, 0.1494854413657158, 0.16647065854470294, 0.17364512100853627, 0.1817543716042179, 0.1736391649882482, 0.14960061303387429, 0.206149910002931, 0.21803773378636643, 0.2423643713327403, 0.26233918833597464, 0.2614582928038952, 0.2737858101184986, 0.28018804636117867, 0.2935499597150512, 0.2884636771373704, 0.3016575630001808, 0.30875522160875946, 0.28619065938815724, 0.29348278662340166, 0.3086461872051868, 0.31335620117504537, 0.30083689576074996, 0.3131066476893736, 0.3445220572812556, 0.3336913227080943, 0.35152302154781895, 0.36542864377544587, 0.3677277666567368, 0.38563707708229367, 0.4212391600165608, 0.444015382302058, 0.4512258846781136, 0.4381465867451233, 0.45281072929140753, 0.43665454743292886, 0.42575479329304744, 0.44051472581900886, 0.4456371976950584, 0.4422187715690006, 0.4699573574066044, 0.47331816702547774, 0.47522138338782677, 0.443132402329115, 0.44459578131241734, 0.446536440954463, 0.41711681080763685, 0.38733396760127664, 0.38704542256682123, 0.37475982708867184, 0.3736220142090787, 0.4026635101676044, 0.43031336192918435, 0.4762908642782299, 0.5106858097453102]",False,0.6000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
4,go,Hit,1,0.8600,"[0.0, 0.0079217611943884, 0.015770335689094837, 0.022132892767505963, 0.02585123591157274, 0.03319208411078779, 0.037951733178534765, 0.04740466824940423, 0.067503969953039, 0.07113532987841543, 0.09004657440480848, 0.11825019290160974, 0.12929619367462214, 0.13751423710002073, 0.17071272536958887, 0.184278034098572, 0.17026195312574965, 0.19142380777713078, 0.1826978619153486, 0.19630316228668368, 0.21447154409023889, 0.22074004370774444, 0.2619826522313217, 0.2677615586065869, 0.26137290416784553, 0.2566918773839948, 0.27837205240856044, 0.27259997618115583, 0.2774701475571951, 0.2987545341011637, 0.2939081385236898, 0.27882061844138994, 0.2719538379763516, 0.2699379968626805, 0.28360661709897533, 0.30509621794884834, 0.29595095251164943, 0.283831500883642, 0.22724340025800405, 0.2560149384821959, 0.27915673457938117, 0.2393592139785688, 0.2667836856996694, 0.27430060610788, 0.2851697454294392, 0.3185599334156088, 0.30472680540817987, 0.32276342036601247, 0.3107294434925437, 0.30607142172419, 0.2726186339660628, 0.23568839318216162, 0.25028692605357017, 0.23281430787000654, 0.2541720581616845, 0.29125704671028474, 0.3243357640363389, 0.3197137785644425, 0.3374039659271528, 0.3498915187631074, 0.3736313641022858, 0.38944293537323676, 0.42581284276856834, 0.4301353390021377, 0.4612197387018284, 0.4514573619242323, 0.4159426652482509, 0.43168790190764067, 0.4141158769035425, 0.43537487779744377, 0.43269066458468664, 0.43935458927384485, 0.4503739341798375, 0.47237358658322415, 0.47974877505057967, 0.47991038990011803, 0.5040568548151827]",False,0.6000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
5,go,Hit,1,0.9400,"[0.0, -0.00713927745039639, -0.019461245729511065, 0.016398601013769235, 0.023545424149587903, 0.00759937461317085, -0.008890093417392091, -0.003763786979329777, 0.029518631994495045, 0.011559900940596453, 0.03672092193595516, 0.04163124127702387, 0.02193687942678217, -0.015553872582821662, -0.021661221491133583, 0.0070279366719654575, 0.03510252437743412, 0.048933822966643864, 0.062276907621329064, 0.05273902926570362, 0.06755474028794399, 0.04745446497781023, 0.042360244108916284, 0.06898523772442346, 0.05750805611323486, 0.08444839806014143, 0.12154724988676406, 0.17097597615294827, 0.20240666518361658, 0.23150197014133858, 0.29877850891016355, 0.28093002968952024, 0.27143337493767616, 0.281563894916955, 0.28559642461772966, 0.31157097771665127, 0.31990382807551954, 0.2914287762400526, 0.2670927477926486, 0.2618314320922539, 0.29934227698818877, 0.31809798699776, 0.28600973997351403, 0.2701422927708022, 0.28600178943341004, 0.3002947385274246, 0.2828200739797767, 0.29594243078751864, 0.2908893967542058, 0.33659291607217584, 0.32403082103664776, 0.33747387638685294, 0.33662637262304895, 0.34524848267492525, 0.33868471745881706, 0.3308153388095957, 0.34551306938530746, 0.3353897675763325, 0.31093812939886967, 0.33049273768618836, 0.33573189952620747, 0.36581423409303665, 0.3494562788091875, 0.3758367465018008, 0.398456823998052, 0.36691045244181797, 0.36828348588516, 0.3808064700395504, 0.3975047662617776, 0.41180483093037606, 0.42646735358017285, 0.4484739882210146, 0.4527921323940456, 0.4643539248775366, 0.44993049919875777, 0.42411909769502665, 0.4518448846117435, 0.4681419099786167, 0.43461361160584583, 0.45051025461465527, 0.47230281376044553, 0.488123420240445, 0.48316631115847797, 0.48374157851795024, 0.503520317787183]",False,0.6000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
6,go,Hit,1,1.5600,"[0.0, -0.03249809972549554, -0.008612435581861623, -0.03403702622426946, 0.024283113697936363, 0.006731090054413601, 0.012345797656496665, 0.010766680406584416, -0.006510876620532385, -0.013721958771815847, -0.010883796533367131, -0.011536644932698603, 0.005774509158398661, -0.02352484528278541, -0.017923037786616663, -0.016899134114591, -0.006724719719993246, -0.02012147106945327, -0.01225284024134809, -0.03877130826479177, -0.0546524720404415, -0.02781190628603955, -0.02495637656188062, -0.030456835953646913, -0.03995344787091899, -0.05392848335194941, -0.04719274454468697, -0.017326820684469217, -0.02895069679219834, -0.0759304052609128, -0.06510928309140623, -0.09033395085858091, -0.07232269723048083, -0.07771823230700903, -0.10321479043410689, -0.08066371507109976, -0.07462324268089801, -0.06801781662208968, -0.08432233740126235, -0.06764202852458526, -0.06179432334160311, -0.06309827281066348, -0.06969209439279185, -0.08007529713518702, -0.09062416302795338, -0.10356878593056429, -0.09535106169820101, -0.09966299503527265, -0.12063133603885236, -0.13282282439808524, -0.12481363524801073, -0.13102517639182992, -0.14852971297174375, -0.07609529286954923, -0.059717983565401894, -0.058096768430900905, -0.06661293677860157, -0.018185059605220592, 0.010657286034747575, 0.03266811797275488, 0.029350576137122497, 0.015177149365775385, 0.008754761910785398, 0.024978637532514766, 0.06155039832964941, 0.04517096266523801, 0.05395214633115365, 0.01869137337104458, 0.027524030165446786, 0.00736920589524416, -0.0017230120937271887, 0.0012252218621803188, 0.015965840777081082, 0.004596424241576974, 0.020001556650509587, -0.0018798880762344108, 0.024442973369095768, 0.012876399049604666, 0.02983120675575056, 0.05038693391534838, 0.047314982967498344, 0.041229759172871416, 0.04007091505481901, 0.039615660770608824, 0.02113647299772138, 0.04068934605357741, 0.071015418006914, 0.08527819784297727, 0.060981728940678825, 0.08877192349515793, 0.1095689874332233, 0.09627399947038903, 0.13976291342705885, 0.11402313367657885, 0.13225026085347363, 0.14941202896442543, 0.16570461798237987, 0.20064269998290038, 0.18465945453370453, 0.22460996410853884, 0.22835851086200765, 0.21726786975025011, 0.22701000739359872, 0.23892182663058084, 0.2512160955076227, 0.25089810452003164, 0.23852975832611922, 0.2702112004704338, 0.2558203096572394, 0.27286170576552177, 0.2686707272637727, 0.2987015454157397, 0.3319232836922021, 0.34089607487220824, 0.33407784964430637, 0.34393807922359376, 0.34068399656798976, 0.3354737784586563, 0.35088848510550097, 0.3243588473997677, 0.3702879307203183, 0.369023205246906, 0.3395878113816842, 0.34859726077875447, 0.3519953840447809, 0.3437641515746896, 0.3257355559704413, 0.31921637478739734, 0.32109861748437496, 0.33159041171734877, 0.3451067668660659, 0.35064462277554587, 0.38281035031450733, 0.4055645705243746, 0.4265499144044702, 0.46129348605369314, 0.44106738438139437, 0.45041858171464677, 0.42565312946521855, 0.4520611483717134, 0.44320696506629426, 0.4705266048560064, 0.4603353385006526, 0.47833823464204867, 0.48491391512043175, 0.4927334456496037, 0.5131081674093599]",False,0.6000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
7,nogo,Correct Rejection,0,2.0000,"[0.0, -0.006650052501037038, -0.008922922810804427, -0.020020561670497615, -0.007892892222552723, -0.0331816479572967, -0.04343206726426052, -0.06053808829920214, -0.04869555207631179, -0.05006228577987266, -0.041558805098984415, -0.025295861796083535, -0.02593120499716814, -0.032850076987976345, -0.029962906016921143, -0.02863548898557408, -0.05382085376661486, -0.044875344794233794, -0.041007824840635865, -0.028985341688321824, -0.07587674111602091, -0.07750201800088645, -0.06549132699834555, -0.06836222590308393, -0.07811593988739794, -0.08167576246915292, -0.11249039211076071, -0.12490539293244131, -0.08918058533348694, -0.0934343735224517, -0.042756403510856175, -0.039987205955408, -0.031142983123144806, -0.029945557758527357, -0.04789511202275903, -0.05729329052966601, -0.04723394160884782, -0.04127647211836113, -0.0376532024367767, -0.03744794615710306, -0.06913909067797223, -0.06939900149368143, -0.05723148712368333, -0.04924891758242617, -0.07846722443046862, -0.0915527005870068, -0.0702314946327621, -0.06661726986243274, -0.04695280697365982, -0.02444731927346908, -0.045520200506564516, -0.06725730168060466, -0.05711802579264069, -0.07749111738375636, -0.06342522113945252, -0.06381749377434998, -0.0852223187881335, -0.1019285585235617, -0.07419655817338945, -0.059790722805391786, -0.07622597632188735, -0.07582117469837432, 0.002060141087252651, 0.0007554934332799929, 0.016312791272023584, 0.03133968940278345, 0.03396516510943565, 0.05140389789265282, 0.06359152374189897, 0.05747422746198799, 0.04142502930944516, 0.026784367104395353, 0.04096306724003865, 0.01573289909590202, -0.020858428425014213, -0.02336170224634381, -0.04334203343802826, -0.02515308195129441, -0.03803312955342166, -0.06389538380872728, -0.04883433877008643, -0.05095898063311098, -0.0514823910866228, -0.0889455847570699, -0.11051631007761326, -0.14956389292632022, -0.1479457749554443, -0.17205790224422146, -0.16452450417441994, -0.16109978758139143, -0.13968371100960614, -0.14281649849547587, -0.15524531388217114, -0.1760662564904112, -0.20697112866390566, -0.22382970391755247, -0.2342185252280456, -0.23384015120754345, -0.21862851234709554, -0.19556632352303566, -0.2272899525464247, -0.22866355778175848, -0.23942299576978107, -0.21637924279239684, -0.21072886620844758, -0.2273548840743061, -0.21035898554159863, -0.20874942321944226, -0.18387793355407478, -0.19718695649907164, -0.20477365182208526, -0.17991051441698008, -0.20620027375225444, -0.21710325238401887, -0.16594420608314606, -0.16579053393341395, -0.15642471836493418, -0.10087864623609202, -0.13150538181904753, -0.16841018082947973, -0.1676630002500117, -0.1605483024551343, -0.20196658964907413, -0.2153023749009004, -0.236709615888233, -0.2225293585467257, -0.23118265600558327, -0.23810026098735967, -0.23074504130127527, -0.2559430337565881, -0.2649777366942896, -0.2885118897592853, -0.29316242260690123, -0.3424215131521286, -0.3609766032102003, -0.34563276785356695, -0.35839675046519126, -0.336595194787284, -0.3457754736269055, -0.3903866787234863, -0.4079195106849103, -0.4214408446703659, -0.42928364243482703, -0.43286313260366105, -0.440104725315769, -0.4627631231172255, -0.4717050150552048, -0.49446691464096426, -0.4951287268228393, -0.46616943259962257, -0.4815326487061719, -0.5312657496988656, -0.5187263352183831, -0.5001615099982284, -0.4740549304059221, -0.4750282587386654, -0.4786520718009627, -0.47925020830245885, -0.4975267743973792, -0.5305080062689513, -0.530397221781071, -0.49288466388273017, -0.4609520700473449, -0.4671476659585745, -0.4754649057977428, -0.4955760514549513, -0.49311254549444716, -0.5078596001474596, -0.5465047401419174, -0.5162936010387702, -0.5329169016614936, -0.5146848498949228, -0.5027190347684435, -0.5052544935087242, -0.5033660851256591, -0.5106184233777009, -0.471224585184943, -0.44318791924498535, -0.44973205093200924, -0.4754017525448335, -0.4784870026027792, -0.5019027084526346, -0.5028973945440122, -0.5157472758588069, -0.4983210295045238, -0.5039320219022846, -0.5312672603042901, -0.5257637877482267, -0.5188758882957532, -0.5301734498139341, -0.5093613765200484]",True,0.6000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
8,go,Hit,1,0.8300,"[0.0, 0.008429099657760637, 0.03122770381504564, 0.04692216945238595, 0.060892901759824425, 0.061413034508520585, 0.06790307652425263, 0.0806468696181234, 0.0726319761938756, 0.07157429445491002, 0.06478669683298241, 0.10147223186233764, 0.1360238477951727, 0.12018498839053905, 0.11596822887796149, 0.1177467313813975, 0.13123711427549972, 0.13189887530968444, 0.13138788566849263, 0.1603993119718235, 0.12468475471347681, 0.13642786064627457, 0.132469699795002, 0.1354359635644851, 0.1369630868199486, 0.1495420206534677, 0.16028301635011336, 0.18421186839344275, 0.2008371671520684, 0.1784508426852019, 0.2180978411618317, 0.20867228726463505, 0.2143044144960708, 0.19018547977584044, 0.17145914416801322, 0.18186133654713452, 0.21072015677374734, 0.23454028670822802, 0.24911053850212314, 0.20528247190243912, 0.21062471048792236, 0.1865607614785893, 0.16129852691601004, 0.17011665400541848, 0.1871819296214433, 0.18783252680672524, 0.2082831016488287, 0.23607348365161113, 0.23373966111569128, 0.256521898841598, 0.2783539535801942, 0.30328570637346913, 0.33166874174091565, 0.3292183200675218, 0.3424477158177154, 0.3497538460148909, 0.3205158034130067, 0.3547245329847096, 0.3798915976796653, 0.38136020023149997, 0.37149143104983867, 0.3730922846533065, 0.39616073436804566, 0.4291506301288571, 0.42538954004093604, 0.4323846551601448, 0.4435474337960531, 0.45537280803933367, 0.4742099806524393, 0.445764613454117, 0.48660857389018464, 0.46421423866241285, 0.4877316637387918, 0.5115296766674123]",False,0.6000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
9,go,Hit,1,0.6300,"[0.0, 0.013085831959731974, 0.03467700385935836, 0.02439286485558511, 0.047371766167224064, 0.05374711058589122, 0.07061107730950977, 0.07999154638731741, 0.09781732208649853, 0.12663787616095007, 0.15072197305351204, 0.13646866051349746, 0.1399608754177244, 0.12281732936557699, 0.12137966532319065, 0.12749876358647932, 0.12949112904105853, 0.13263311054532995, 0.1418667013079783, 0.16846684644611176, 0.19849151800442086, 0.20708821026763385, 0.21200190627946017, 0.24543411054286599, 0.269922669018639, 0.27027881843471074, 0.29959770160619215, 0.3250298550721188, 0.32254383813335963, 0.3464546740920834, 0.3410500454807469, 0.382026931414022, 0.3809938199181815, 0.3764108824639163, 0.3816330684746672, 0.3910921635233498, 0.39700289023888685, 0.3833963804044441, 0.3595414427182636, 0.3986280564507075, 0.3907909196970862, 0.38393708998189846, 0.34873034720102697, 0.3558142592861843, 0.3657155082182854, 0.3748315623808421, 0.37579802042986205, 0.37628238293096594, 0.3726108649560526, 0.39739925270644993, 0.3924153945403912, 0.4491135383233711, 0.4851492027780792, 0.5069952424869838]",False,0.6000,0.4000,0.5000,0.1000,0.2000,0.0100,2.0000
