trial,stimulus,outcome,choice,rt,trace,timeout,w_s,w_n,threshold_a,t,noise_std_dev,dt,max_time,affect_stress
0,go,Hit,1,0.1700,"[0.0, 0.0017129372538918627, 0.039647214715736026, 0.028572827602902483, 0.043582304154030624, 0.052555128172372824, 0.08234056313372605, 0.1063064365324684]",False,0.8000,1.0000,0.4000,0.1000,0.2000,0.0100,2.0000,True
1,go,Hit,1,0.1600,"[0.0, 0.024146486686875898, -0.002567710926048808, 0.01750254112498563, 0.05922054923572218, 0.08753293250783606, 0.11570188594040248]",False,0.8000,1.0000,0.4000,0.1000,0.2000,0.0100,2.0000,True
2,go,Hit,1,0.3300,"[0.0, 0.005937529426129932, 0.00563072025913848, -0.01650789384500791, 0.007488098156716406, 0.02399182145697475, 0.033009903074129834, 0.07328792356535194, 0.08613812835661935, 0.07986471826741452, 0.06985638142798817, 0.05991952650992306, 0.07126435101011146, 0.08052606313755123, 0.0677939372247007, 0.09219981520445085, 0.08895431525125987, 0.06686660820843444, 0.09146534902404688, 0.08117743768056977, 0.09045876213406147, 0.08714624925529357, 0.09465122692260422, 0.1150494340531721]",False,0.8000,1.0000,0.4000,0.1000,0.2000,0.0100,2.0000,True
3,go,Hit,1,0.1500,"[0.0, 0.07481672414597931, 0.0690396107797835, 0.07716875926899323, 0.09896595161055241, 0.11818988774110989]",False,0.8000,1.0000,0.4000,0.1000,0.2000,0.0100,2.0000,True
4,nogo,Correct Rejection,0,2.0000,"[0.0, -0.020967850278319978, -0.04029103586738193, -0.04625892468358838, -0.043468510435016844, -0.04071345635883982, -0.04313705049357766, -0.0399870264364195, -0.0326541355467735, -0.04326914981579226, -0.04574945033378101, -0.06061605463814784, -0.0863835755276699, -0.08584912708063192, -0.08799004243758088, -0.08689032693954896, -0.07320816259411662, -0.07014695481974206, -0.1026260186609923, -0.11145892145337935, -0.11454559577570705, -0.12342332794314988, -0.15187349834631125, -0.18786218385327227, -0.20265896039339057, -0.21910015144173633, -0.202325086140146, -0.21917364994244626, -0.25457918173513533, -0.2823050373815778, -0.28788692128983745, -0.31098102681707257, -0.3509710979603535, -0.36987359009603904, -0.37421824065621107, -0.3957662476228831, -0.39801006805282907, -0.42747981475480273, -0.4503111457949769, -0.47189970115646196, -0.44965175370269683, -0.45735336517647085, -0.46045245099340176, -0.49581961713018163, -0.4881399312821873, -0.5188099168959448, -0.5577825185468759, -0.5622807863025996, -0.5470683198375458, -0.5259236300664405, -0.5054711126773201, -0.5478823161865528, -0.5368969342324309, -0.5693493424726822, -0.5834300775006875, -0.5899152601275225, -0.5750130656585485, -0.5910303784051069, -0.6075998840114006, -0.6037491034176237, -0.6047730029948595, -0.6096203941652193, -0.6416571111636348, -0.6793977262485901, -0.6989567316015706, -0.6866456019939046, -0.7234370607365107, -0.7419024700135836, -0.751528356314259, -0.7545130878883588, -0.7459466824660678, -0.7226526313115061, -0.7320052628883066, -0.7511577109475045, -0.7377960970754833, -0.7681811375467427, -0.8103724916456617, -0.844173728633559, -0.8410132924765528, -0.8464945954868544, -0.8389943630748631, -0.8635770434138899, -0.8533140701089014, -0.8723801174128397, -0.880261884170713, -0.8925980546036003, -0.881204021896576, -0.9188503437575062, -0.9206704547770699, -0.9245467363224996, -0.9732204291897641, -0.997419773337011, -1.0143087749450943, -1.0039052610190382, -1.008169179608327, -0.9716438323841761, -0.9779486418579351, -0.9886569767622344, -0.9725399160544002, -0.9755867331718526, -1.003297024301989, -1.0636178048005815, -1.0453755227741615, -1.0383523243051467, -1.0418122358400796, -1.0609839298472792, -1.126530495353806, -1.113494311201107, -1.1338933967075364, -1.1560498350756443, -1.1605205857897005, -1.1580723516604938, -1.1901062871632417, -1.216374196788776, -1.2269004550547762, -1.2589158078693599, -1.2544631095985694, -1.2603109356787867, -1.3155349097774443, -1.300088266906234, -1.3101465723208803, -1.3079864064569628, -1.3197685657664235, -1.337039414700348, -1.3271878125617993, -1.3255067902824256, -1.3340175882659633, -1.3253378691020774, -1.322302928623516, -1.308022418795957, -1.2864051741758684, -1.2929301977763759, -1.3280026671000142, -1.3547081064965165, -1.366393685047982, -1.3619780131361734, -1.3807448170814947, -1.3411039932702387, -1.3413010380278039, -1.397815177901244, -1.4164595866285772, -1.4211300611726114, -1.4361767692794127, -1.4392366026800456, -1.4643836340237149, -1.4958044768316197, -1.5018899737211304, -1.492626842136564, -1.4879923790281722, -1.498181211049503, -1.4748323632391125, -1.5034694272658822, -1.5151856982822125, -1.5166429554335106, -1.5174566647761096, -1.487501972908629, -1.489621681756406, -1.4991392647834525, -1.5066479294231576, -1.5313384936799164, -1.5972152206550658, -1.5984252195481452, -1.6036774557754303, -1.5756159047685396, -1.6032561395688785, -1.585114201005114, -1.5754619056907044, -1.552713280916826, -1.5115648224408256, -1.4766353218663535, -1.4591351113748612, -1.4583793339215727, -1.470926277085086, -1.4441585323048582, -1.4529530290281087, -1.4514046530762648, -1.4509077899366394, -1.4351991257553995, -1.4207891101834906, -1.4284809783359869, -1.4689918645754738, -1.4901540115654595, -1.506301738780826, -1.481968437390539, -1.5168703721314918, -1.5543205470762338, -1.568863003097782, -1.5888393075702827, -1.6111923737761702, -1.6059192553947952, -1.6046290414093742]",True,0.8000,1.0000,0.4000,0.1000,0.2000,0.0100,2.0000,True
5,go,Hit,1,0.1500,"[0.0, 0.027153752698369355, 0.026174918823184817, 0.09148868984338554, 0.09581301086202769, 0.11101059702660145]",False,0.8000,1.0000,0.4000,0.1000,0.2000,0.0100,2.0000,True
6,nogo,Correct Rejection,0,2.0000,"[0.0, -0.02082751146822108, -0.029550227790961812, -0.02798164637794915, 0.0096394679401079, -0.023277883600397363, -0.05368199147955234, -0.0456528282814442, -0.050187687578892096, -0.09452147154127466, -0.1637995672895718, -0.17050223485926563, -0.18039251776102536, -0.17729454019464483, -0.1809239507918019, -0.19090633704023596, -0.23540391933141713, -0.22323821501972882, -0.2332843101857974, -0.22891633817865262, -0.21812856087040677, -0.23195909145540552, -0.22692216854381336, -0.2106615824112731, -0.1937628848562525, -0.1727680579387687, -0.17355756150009602, -0.23391088614233657, -0.2512919653637157, -0.23862138194647056, -0.2566001072606466, -0.2724066109160134, -0.30078294700030694, -0.28685367947830137, -0.28546326619526113, -0.288718685319557, -0.29428511323245654, -0.27542775320012386, -0.2844184100099073, -0.2996484832366673, -0.3092165039213927, -0.30994892458408885, -0.3156750664448995, -0.3332432943986281, -0.34735570954714734, -0.37596407212765715, -0.3912291330274007, -0.4365070685848569, -0.4622331886318657, -0.4836709268079054, -0.4817018458284219, -0.484920517103008, -0.5137703692222253, -0.4927379799990415, -0.5064719172414972, -0.5291264942900346, -0.5766075827586127, -0.5714269597440941, -0.5919353304252707, -0.6024368221627988, -0.6231180925622125, -0.6371410164781882, -0.6246096018200141, -0.6643480335109383, -0.6582607450682291, -0.6821863067020569, -0.6738291575844021, -0.7201701850391523, -0.6774752144570206, -0.6859519690927761, -0.7314785357775011, -0.7455669900912533, -0.7735995613258665, -0.8033461929229149, -0.8150289999011746, -0.8600965461095148, -0.8918090726131103, -0.9359028480584397, -0.9312692326599274, -0.941715116528558, -0.9746086821021702, -0.9920804233711129, -1.0202315786442198, -1.030860045810096, -1.0481719832035363, -1.0601862996500755, -1.0612541263843105, -1.0570431259195145, -1.056626321080102, -1.0552419935148307, -1.0419912778347087, -1.0740068075738292, -1.079694293515579, -1.1071177100615743, -1.1310149738341746, -1.1578608348184454, -1.1191456050578767, -1.1598583167603613, -1.1652928970598218, -1.1829027380143973, -1.2170519795150656, -1.1984135474409274, -1.21076683187696, -1.243375214626251, -1.2617335275675088, -1.2488202720159367, -1.2782920242696256, -1.265809812881163, -1.257582605341584, -1.2744607347393044, -1.2975262310375186, -1.2814608499273674, -1.3093980285173283, -1.3092412453556952, -1.2984560624523611, -1.3334649189806793, -1.3312198182396666, -1.3731922643944392, -1.343457812826015, -1.3266921269754752, -1.3325939265673876, -1.3480518775423345, -1.3581997804764265, -1.3099295639563313, -1.351746906247693, -1.3737982586425876, -1.382839186899903, -1.4033770117209976, -1.4263330434490566, -1.466227690138983, -1.491323325260672, -1.5202533323230654, -1.5595948766639267, -1.5929340713727578, -1.6262137957769007, -1.629444612806374, -1.6643526091874354, -1.6714108785321597, -1.6878035945502123, -1.6924958325726767, -1.7033871426075986, -1.708084291289084, -1.7101241626278223, -1.725002429449229, -1.7358394428761172, -1.7482858717711764, -1.7657555516082932, -1.7860473519452986, -1.7995850838636318, -1.8135797192311072, -1.8102853714833942, -1.8104053396900905, -1.7955418181742675, -1.7753598582663623, -1.7920413455426039, -1.7979763135584081, -1.8083432645397857, -1.7822776617873435, -1.785679039646816, -1.7944745213320676, -1.8200467377702596, -1.8202051044202912, -1.8243203094764435, -1.8562753076536564, -1.8534704434895455, -1.8756976015802076, -1.9124271819462604, -1.9308399245807066, -1.9476472339526276, -1.9642161998478476, -1.9777842130968855, -2.017078606128261, -2.0733322187376055, -2.0842230873105967, -2.0684240672217773, -2.0638896800718647, -2.0626583121405204, -2.104284318386073, -2.111570284322363, -2.1316310307365054, -2.1490346751111784, -2.129048990000321, -2.1165533555747755, -2.110239655107212, -2.078109241937603, -2.056769070625662, -2.095277418133004, -2.099978792300336, -2.122964924294035, -2.107541669560613, -2.0834284044137275]",True,0.8000,1.0000,0.4000,0.1000,0.2000,0.0100,2.0000,True
7,nogo,Correct Rejection,0,2.0000,"[0.0, -0.030903686780333315, -0.023190431214347294, -0.01739384713003813, -0.03228208759077861, -0.0710492853049137, -0.08654006870616443, -0.1012032327529498, -0.12085491342776297, -0.1433486746362091, -0.14210886245716278, -0.1606596756298282, -0.18129612532803357, -0.18548562656068607, -0.20209102662398162, -0.21991975853833706, -0.21426750841310982, -0.23217183473491504, -0.24479387804434477, -0.24902848208733444, -0.2662424266830971, -0.2838921207925059, -0.30428901702134326, -0.3289953717865906, -0.33160197247313605, -0.35078615948042907, -0.38577467146180555, -0.39178172113722787, -0.3992341259091575, -0.4157256871005195, -0.43563648037308317, -0.4511076063035672, -0.4704882532112995, -0.4727158948110609, -0.48384812558985857, -0.4935263616150426, -0.4969094965595324, -0.5234666023100906, -0.5470814384596403, -0.5366757205932068, -0.5706671270728265, -0.5624242695778715, -0.5397348253074551, -0.5440668748245776, -0.5455207485953021, -0.5614512350074219, -0.5474435667194677, -0.5291671488872518, -0.5803053650117337, -0.5929720660045024, -0.587101570952006, -0.6180628306752346, -0.6366748791492667, -0.6399503081111332, -0.6533295301933997, -0.6674629679345769, -0.6541230047763947, -0.6712261177838269, -0.7114188492850251, -0.7201272747064223, -0.7380773582450579, -0.7696157722392202, -0.7611099714997163, -0.8165910009819667, -0.8411532061989343, -0.8729822593209005, -0.8694037418273012, -0.9041749660869288, -0.9463226320074004, -1.0038272492380182, -1.009363773799274, -1.0386164329909333, -1.034740344280209, -1.0328789069461926, -1.0465541205496052, -1.038355134385817, -1.0489936259755839, -1.090217729163753, -1.0460394045006025, -1.0520594045408462, -1.0351749380120578, -1.039212734295556, -1.0570547968831816, -1.082917017849819, -1.1061148724676462, -1.1468696192729373, -1.1533075874187784, -1.1413299252591962, -1.164899211835497, -1.1975121315560535, -1.2405639115513878, -1.2352066490889697, -1.254547489821948, -1.2479947910265483, -1.2724382369910372, -1.280114698408332, -1.2826536257861034, -1.2448711778877104, -1.2488346028558646, -1.2492787697522314, -1.2851608894788287, -1.3106607217130224, -1.3189960165414853, -1.3615855168563344, -1.3592369372549604, -1.341464496632789, -1.3382412908938597, -1.3746630494377996, -1.3897489547062427, -1.4187069852948697, -1.4007550444120023, -1.3936029768009368, -1.37365796202927, -1.3865892559706152, -1.4092919238780166, -1.443402363495301, -1.420195859637857, -1.4300856143515428, -1.446206957548737, -1.4338536229168304, -1.4369101233205321, -1.4261809173400581, -1.4115216672141107, -1.4231712779666927, -1.4088807527121174, -1.4118931624877333, -1.4254316526711581, -1.4398815898527346, -1.4467326816046684, -1.4413961518014866, -1.4454375544978715, -1.4108697232696585, -1.437606117254801, -1.469071187468223, -1.5194615328589351, -1.5162891278592654, -1.5222007615415034, -1.507640358373149, -1.5364908893269584, -1.5679978752194474, -1.576761110093686, -1.5700660540448672, -1.5972245840405934, -1.6353769208196485, -1.6285782320513134, -1.6255141612734316, -1.6353188619681478, -1.6436971109530314, -1.6567067273873335, -1.6925646569273383, -1.7472532695953524, -1.7838688243500556, -1.7946439709165947, -1.8198716846363803, -1.8457468428465682, -1.817900691092203, -1.8451083852444996, -1.8765489288255177, -1.8941244773731167, -1.8774356095009452, -1.8814278688063681, -1.8568848358059782, -1.891913324203638, -1.941628977243995, -1.9583164243211955, -1.9913156991164678, -2.0472406183356004, -2.0603043289740604, -2.069542798275208, -2.067626797244509, -2.068518085819364, -2.0515644617432924, -2.0431555698866033, -2.054247625160069, -2.063970478752132, -2.0701536900003665, -2.10091502728529, -2.107083000304473, -2.1173941350201892, -2.1428468016489624, -2.166731777442659, -2.177341963051815, -2.159624370157693, -2.186509183979033, -2.202136942755417, -2.230107511444027, -2.2219407826219326, -2.2350323820774647, -2.254436141775081, -2.2730297918031197, -2.2639329703086806]",True,0.8000,1.0000,0.4000,0.1000,0.2000,0.0100,2.0000,True
8,go,Hit,1,0.1400,"[0.0, 0.03639827781184046, 0.08846782487992189, 0.09094561396321366, 0.10809775398864685]",False,0.8000,1.0000,0.4000,0.1000,0.2000,0.0100,2.0000,True
9,go,Hit,1,0.3300,"[0.0, 0.019787116547409913, 0.02752344333785264, 0.030767364970577436, 0.06272219690342185, 0.07849248438131821, 0.06942446227018004, 0.05172833025313195, 0.028283249088595565, -0.0009170881065470801, 0.021406056953353333, 0.044036302642801686, 0.03050835433851306, 0.020502373845779347, 0.01756123319625511, 0.04085668661934966, 0.06146614482135863, 0.06455059930938441, 0.027721950242365588, 0.019227150125660435, -0.01672758992047173, 0.048400091053293806, 0.08544437832888035, 0.12324663753969176]",False,0.8000,1.0000,0.4000,0.1000,0.2000,0.0100,2.0000,True
