v_norm,a_0,w_s_eff,t_0
51,252,451,327
343,210,232,249
248,194,340,430
391,462,399,311
305,392,453,318
201,130,334,248
372,272,225,289
482,265,298,320
396,214,295,280
8,449,339,334
345,102,4,221
56,402,150,282
44,400,122,248
498,487,203,388
240,279,336,319
454,435,386,271
199,196,238,282
383,385,318,436
463,275,5,87
195,477,387,170
263,361,141,134
31,38,70,332
464,493,461,114
336,19,299,226
158,460,177,374
189,386,124,440
14,412,99,279
158,294,271,213
204,12,217,281
314,128,298,224
144,342,384,286
337,446,390,344
199,325,189,274
26,95,141,281
377,257,273,265
431,465,476,375
25,173,86,440
384,405,412,267
110,95,102,78
425,277,301,184
340,137,267,289
490,493,456,239
72,278,27,403
293,453,389,185
343,286,155,284
285,241,127,377
457,404,486,252
328,398,433,335
86,97,176,269
154,255,193,266
295,73,13,139
373,338,458,316
12,261,4,197
449,186,20,396
417,442,166,219
384,125,374,241
332,146,79,308
207,473,343,197
342,25,126,389
257,114,293,311
239,223,419,310
424,495,433,137
224,69,390,351
453,273,422,243
38,56,180,144
332,97,498,122
330,108,347,395
453,118,383,377
102,19,79,132
383,383,99,290
397,373,331,199
430,24,7,359
393,335,197,325
55,256,69,312
138,410,225,232
338,328,159,306
452,137,468,299
91,16,71,422
335,81,104,303
77,49,165,236
488,494,0,282
468,365,440,292
259,267,246,323
284,125,214,326
223,434,338,210
239,35,12,237
53,420,248,271
115,64,123,156
207,124,252,244
131,121,275,324
31,57,205,181
76,296,445,252
70,61,198,207
40,201,299,152
482,396,457,486
77,46,78,82
242,358,448,370
87,149,68,232
43,38,47,338
449,365,476,74
268,226,148,311
200,35,316,243
331,484,466,375
62,3,4,113
468,218,364,400
346,165,132,297
472,123,208,421
393,283,133,307
310,419,360,292
221,261,430,220
334,99,236,133
70,74,208,49
47,221,146,384
499,438,465,456
190,23,5,312
269,123,459,110
155,42,60,244
139,123,119,282
230,156,76,354
95,428,406,228
424,303,492,310
380,12,28,367
285,53,130,283
413,217,339,496
203,454,466,247
27,327,6,271
465,437,76,68
344,99,322,184
265,74,12,284
457,423,313,144
128,58,224,486
488,271,463,357
116,185,204,383
460,289,441,402
165,69,74,247
200,41,130,377
95,112,281,112
318,72,3,392
494,21,323,379
372,312,432,378
385,59,309,446
431,432,474,392
0,4,51,374
423,294,489,370
358,161,62,193
439,277,229,265
366,325,251,317
477,347,174,172
367,302,303,168
129,24,141,119
467,327,495,289
146,441,288,24
258,126,27,151
262,388,276,393
65,65,431,300
456,469,490,208
279,53,108,258
384,300,240,257
491,407,477,366
490,318,414,217
193,218,237,267
29,3,26,177
49,47,224,58
155,33,260,197
282,91,158,258
446,149,264,330
84,128,73,300
217,165,83,239
360,81,142,280
472,445,445,384
288,152,455,127
426,332,393,416
161,198,284,128
297,225,306,230
188,429,116,415
451,136,266,383
403,344,401,350
339,325,366,112
485,273,429,347
378,315,175,400
497,184,85,138
365,498,188,166
105,216,331,343
99,205,171,245
333,260,350,117
471,43,5,310
306,209,113,255
466,413,373,208
140,155,231,272
139,237,313,467
203,138,158,217
291,160,58,127
219,307,152,317
367,107,100,119
383,12,167,354
79,122,190,344
169,112,288,340
165,17,232,355
92,435,265,240
217,215,191,237
486,354,469,385
500,199,469,263
49,169,49,281
238,278,369,186
109,274,90,304
400,52,181,315
204,66,80,150
411,415,308,334
92,4,58,374
435,191,193,213
385,233,310,330
494,63,29,355
380,146,444,155
190,109,279,181
456,207,495,351
153,405,393,287
32,126,423,168
415,399,243,279
327,376,389,242
478,123,20,196
446,308,98,99
328,218,25,143
403,302,365,88
434,326,319,73
432,89,426,384
467,410,447,381
463,395,236,239
492,49,482,398
361,380,488,284
128,494,202,150
391,343,352,251
471,447,349,313
459,145,349,181
351,119,169,496
449,25,247,375
199,380,427,257
96,216,133,439
124,4,0,256
125,54,346,351
458,333,455,245
305,355,319,287
496,406,497,256
268,288,127,155
447,164,325,345
481,309,444,230
374,46,131,343
364,352,458,414
344,18,100,400
88,114,219,174
113,499,487,385
342,118,46,379
341,175,65,101
84,93,231,305
342,295,299,387
131,486,260,441
57,82,21,252
404,420,308,177
471,424,485,370
193,102,272,327
331,369,279,139
72,17,141,471
365,164,3,131
322,359,308,339
237,33,210,237
461,170,500,349
59,62,367,377
151,136,197,435
285,170,317,326
176,345,399,196
270,473,436,225
464,118,261,332
151,306,288,267
198,177,311,355
360,106,288,168
495,323,499,175
499,145,426,236
294,147,168,220
438,485,485,243
221,243,206,409
204,375,347,366
428,479,424,322
234,136,34,371
475,434,476,292
64,94,26,131
488,481,475,242
240,59,235,319
41,201,61,145
167,166,399,228
281,391,323,384
157,399,236,278
410,200,14,181
28,194,105,361
239,443,391,188
455,434,390,238
140,340,422,258
291,380,403,129
337,313,161,238
490,378,426,333
128,149,2,361
50,384,124,196
