,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.4809411341072722,0.04930267920727762,1.3780644010129373,1.4522406222723356,1.4743529615463526,1.5075339900632236,1.5856812584390978,0.0039016382154475338
a_std,0.05902752569963992,0.05110457939549922,0.004568137310942208,0.02544466923559191,0.0457989529848139,0.07924842058054121,0.19344207310790684,0.0041364225285780275
a_subj.0,1.450639382081386,0.05156116452133106,1.3556003775484902,1.418883220530681,1.4491877905176074,1.4798658852042643,1.5634015936910282,0.004104328122397121
a_subj.1,1.487453001009739,0.04737698141270832,1.4084983933898785,1.452659129848367,1.4780985838763199,1.5187536231328809,1.5853624020430612,0.003559063044342651
a_subj.2,1.4852501441574213,0.05035840693064189,1.3980340708156855,1.4533828239659021,1.4775875194002661,1.515748473245551,1.593987128704816,0.0037476886632392395
a_subj.3,1.5061604457702429,0.054315620617967124,1.414262819713635,1.4669349076409075,1.498305178172295,1.5384725660690448,1.6280343883404973,0.004278484545171457
a_subj.4,1.4675022728910727,0.04624325818486303,1.3725681195810409,1.4382499088489522,1.4662121492080538,1.4946896249139008,1.5668627802671422,0.0034335838294888405
v,0.578619309707014,0.08406899529571873,0.43241905550163173,0.5128011961604969,0.5759510321446535,0.6279046275672748,0.7783297807154084,0.006737294497743354
v_std,0.07987597405010283,0.07524659159219443,0.0013647918275170108,0.02353749466668837,0.058822912014539014,0.11797601770469518,0.29711794091609833,0.0063480017988121985
v_subj.0,0.6169922629348855,0.10282158299337091,0.47632160904501525,0.5412518271558467,0.6005886335066168,0.6764858923237755,0.8669806647508496,0.008422801432092097
v_subj.1,0.5503316578583285,0.08653866340669446,0.37800196116559126,0.4974708415788962,0.5491709118261242,0.606175530910033,0.7340266439849448,0.0061038556437187875
v_subj.2,0.5623505849141459,0.08327829643465011,0.41740128774022295,0.507615711751236,0.555117238203193,0.6102972357353823,0.7416547068327933,0.0055951721228286126
v_subj.3,0.5709370905312153,0.08356047738653073,0.4245332755535095,0.5086484533173109,0.5662029853362675,0.618045093233295,0.7524599971819466,0.006448164249815635
v_subj.4,0.5772494058310967,0.09027985532373031,0.40774534715312216,0.5096464611746366,0.571191482913169,0.6249982965230759,0.7706672712669665,0.006344915959325877
t,0.21979340574398581,0.010529816342958659,0.19674737607191764,0.21216797645813712,0.22303139842290381,0.2271510770934016,0.23972211068792165,0.0010135044423687054
t_std,0.003541281130346291,0.004622717924377486,6.74860204343337e-05,0.0005993177346949354,0.0017216681334212497,0.004625363969825397,0.018032388775698557,0.00038916241568747936
t_subj.0,0.21897562286693123,0.0113042431656008,0.193332367064135,0.2119070903342966,0.22250485895172556,0.22707469482141587,0.23944838439050023,0.0010801063569271779
t_subj.1,0.21915746737894828,0.011044339113734347,0.19575252311105937,0.21199896192011514,0.22230430571649554,0.22726123154235783,0.23986359048394706,0.001060009068980018
t_subj.2,0.21966984544271534,0.010600362479993497,0.19615669479410336,0.21201955406321252,0.22286423640797584,0.22678517747172483,0.23955882427303343,0.001022394720023195
t_subj.3,0.2198953700016356,0.010991197289815785,0.19616935804350896,0.2120806369289868,0.22308954737463044,0.22717639998591,0.2400626288073246,0.001047960946717662
t_subj.4,0.22090871512815702,0.010715435897354034,0.19753739006785392,0.21225161377364934,0.22315689455689572,0.22739383218943468,0.24160931796323906,0.0010037129929843908
sv,0.30554969386612263,0.23448434997627823,0.013476138780010374,0.12577310525971255,0.2462784539219987,0.43061080322794226,0.8526606998862583,0.017598352481303897
sz,0.3007956688244295,0.14039456954133533,0.022063947839076423,0.20043217639552566,0.32423915630342853,0.4071325143563813,0.5222528844905915,0.013050622106643445
st,0.030177327513499348,0.022053910097670038,0.0009179764277395708,0.011961813232598957,0.02655430785104909,0.04270634451839171,0.08119644941203302,0.0015696985112043538
z,0.5139749256432922,0.010576919467888395,0.49191273800584634,0.5074103001698002,0.5146139501170279,0.5203976847277159,0.5347947619519617,0.0008894821327425851
z_std,0.032896862457560655,0.02401255776437186,0.0011281801048501545,0.014083215920377007,0.02911571198811492,0.047145057560286634,0.09319764294826212,0.0020069644804819255
z_subj.0,0.5114157871093843,0.013068530250713542,0.48472257907485483,0.5030132482895682,0.5138380257473544,0.5191594789328868,0.5365088504152706,0.0009691260908005078
z_subj.1,0.5154344590579963,0.012445818439111007,0.4926321991898282,0.5080071107028608,0.5151688873072733,0.5222322663022319,0.54221724757186,0.0009507778561124358
z_subj.2,0.5114021143424365,0.012418456090928698,0.4862771142673022,0.5034475148894947,0.5138094819344113,0.5193829708497829,0.5341440406353439,0.000938991475257189
z_subj.3,0.514330293003481,0.011960161301721912,0.49228452091875263,0.5071569612077922,0.5144747933642887,0.5211795928263016,0.5407109958656837,0.0009145150732115564
z_subj.4,0.5160864727334894,0.012074603050376189,0.4909790209663922,0.509094488823133,0.5157029152814606,0.5230881032869494,0.5415402131162974,0.0008888750732229478
