,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.4603446447968345,0.011380358531644541,1.4367880275118767,1.4549156511981216,1.4598910550319302,1.4672616319769773,1.481384322830795,0.0005964257848082975
a_std,0.013725002167306271,0.017122837097332016,0.00017138659731366342,0.00446198349192062,0.009504882099831004,0.017513452635785756,0.04993656938655833,0.0010952322916511015
a_subj.0,1.4628779394245188,0.010596116591115711,1.4430722027996228,1.455679891505919,1.4620232627074745,1.4698419149572501,1.4842976419211926,0.0006184024861494455
a_subj.1,1.4622975311787538,0.010713654619451044,1.4417929600825627,1.4556534919935953,1.4612354499031226,1.4691446554531895,1.4852742230556164,0.0006111795705409124
a_subj.2,1.4555096484075454,0.011286389416556797,1.4302405716914914,1.449044955324527,1.4558350272579392,1.4626402562848502,1.4774119273981694,0.0006400585891385504
a_subj.3,1.456070924547381,0.011378970197531407,1.4325710488560406,1.4496985605250976,1.4564753343675987,1.4635937827966836,1.477697542370763,0.0006989757599112782
a_subj.4,1.4674934082838935,0.011268776467487127,1.448483101732887,1.4582806934569013,1.4670174301641163,1.474490491573267,1.4918457764372348,0.0006936294593257394
v,0.5246975920036496,0.025345526610056873,0.48421795587642985,0.5131405743707951,0.5247359328393542,0.5383539727376131,0.5606456691645032,0.0012620121548690797
v_std,0.023437539807053105,0.0311427031718398,0.0010983527305895957,0.007944729190623674,0.016247293677616043,0.029143219498359123,0.08336674430430459,0.0021258390680534843
v_subj.0,0.518788079080161,0.021802499350144135,0.47341673892778724,0.504402347905026,0.5201424024126138,0.5344900349776226,0.5558243460600047,0.0012695691440815465
v_subj.1,0.5299155447570782,0.02037055169470111,0.49215354878036066,0.5172302703196202,0.529426672457625,0.5432385775971875,0.5721299772591271,0.0011293363953752827
v_subj.2,0.5284375340517866,0.02069648859414427,0.4905551304233394,0.514915842954045,0.5279468178128547,0.5417778835031605,0.5710563787218781,0.0011669155620096824
v_subj.3,0.5254484929119113,0.0205744880731885,0.48329974468949183,0.5128630356876215,0.5253201261673774,0.53955944746679,0.5653142613454776,0.0011258023047922435
v_subj.4,0.5210595253037213,0.02077625788880299,0.47536023098020724,0.5086095942642627,0.521712565020087,0.5352475886695692,0.5586851386634606,0.0012676899316427788
t,0.21195084677241713,0.005092112078820528,0.2043049645830848,0.20858529059849057,0.21100935193350637,0.2146575776309708,0.22372407398860103,0.00044428224789502406
t_std,0.0032249681011424845,0.004032804440089808,9.898696080745401e-05,0.0010684871535133898,0.0023509396787594556,0.0040705585939638245,0.012882673017731475,0.0003023578796756171
t_subj.0,0.21144785094230945,0.004737704777834813,0.20391461154803764,0.20802052025408801,0.21075057299956942,0.21428154888301204,0.22153217583536047,0.00042626649852496
t_subj.1,0.21015832247616656,0.0047239638971028185,0.2022774532483114,0.2069210355502871,0.20950385118758555,0.21294643109437586,0.22105663049748303,0.00042228961444761286
t_subj.2,0.21210211717208954,0.004707373897105215,0.2051436142488281,0.20876083943461746,0.21123156304161467,0.2148008907734078,0.22334565200962297,0.00042740456984813655
t_subj.3,0.21358196207634333,0.00503512507105237,0.20628536829646452,0.20982019786910192,0.21291383926761825,0.21619493233454457,0.22584626101454977,0.0004554591029743499
t_subj.4,0.21223607597372032,0.0047247507717703766,0.20526543361217833,0.20891195346205513,0.21132422531256811,0.21491838996086401,0.2231949839189626,0.00042583364912980175
sv,0.0876210460220913,0.06386325111580957,0.0035012299741928993,0.03629108243883448,0.07637694067334151,0.12610500959516932,0.2382666244910753,0.002562662808171362
sz,0.10738999766863105,0.07777230075521581,0.00428362183344464,0.042476038767322914,0.09313700305766107,0.15933972458900866,0.28053292206164915,0.006883855480451183
st,0.0387322883268275,0.012432692722882928,0.008791784571094297,0.03114969507624,0.04009956277534947,0.047736633736369584,0.05978641560647113,0.0008203711376419945
z,0.5014695467904102,0.003749599095710632,0.49461002653172204,0.49906212123695587,0.5011028395962286,0.5037426824097735,0.509323044659995,0.00028599848440006637
z_std,0.012652420813660754,0.012208418689640222,0.0006562700704836552,0.004010501962844603,0.009009185711145066,0.01698279582271089,0.04649063167198371,0.000856212523923812
z_subj.0,0.5017141914579907,0.00407194131266569,0.4939522839766679,0.4989909078524128,0.5015891756929761,0.5042963391528048,0.5101990698867266,0.0002941152668148579
z_subj.1,0.502159638950721,0.0041247011830485205,0.49488960268515686,0.4993474958699168,0.5017298325700262,0.5045661595823792,0.5110405124906037,0.00028353842633391946
z_subj.2,0.5012353455914509,0.0040271800835548766,0.49321831620160544,0.4985667830274777,0.5010292129170298,0.5038484914195414,0.5095675032954793,0.00027429051902579056
z_subj.3,0.501545305408718,0.003974244883074347,0.4939835308675369,0.4990239425074116,0.5013161842627846,0.504136570482243,0.5097269499447904,0.00027704805034372437
z_subj.4,0.5009004926967564,0.004010459423760062,0.49266043517082575,0.4983428401309789,0.500676105815095,0.5034904360047645,0.5090630097881179,0.0002764737080256666
