,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,7.588181348156197,0.31708670562735686,6.999405711315309,7.323951761940691,7.619105952666416,7.842172363811269,8.129712891279418,0.03059022932833278
a_std,0.13355459779122617,0.10481185683894308,0.00580635549993587,0.05655605371732422,0.11124733141961518,0.18097285261111795,0.4055053532807949,0.007750896568606905
a_subj.0,7.618342340067422,0.34374953163248834,6.982450944000748,7.336029728121208,7.635972456755702,7.877505447622433,8.259021315286637,0.031610767360407244
a_subj.1,7.604313852415104,0.33062014980692817,6.991653163629916,7.339895666271425,7.619532367960025,7.8623531513811935,8.201648161955887,0.030238107938495268
a_subj.2,7.544518881143511,0.3314133330040533,6.900872822042818,7.3089852296385045,7.546960673697446,7.809187022836861,8.130072984872136,0.030448255711687005
a_subj.3,7.564369882812814,0.32320369726723114,6.96318078087866,7.315871765197896,7.578468461452255,7.825097568364264,8.125458339309647,0.029724043622857816
a_subj.4,7.5314446577472225,0.3329303290713761,6.901605585172152,7.2983173704032005,7.5446507991273215,7.807343123036059,8.115667054180538,0.03051581126738459
a_subj.5,7.623194614389935,0.34479410820576645,6.988919447672895,7.337901424324269,7.650508998342114,7.879378354108553,8.244677214344915,0.03156757048899982
a_subj.6,7.58851197961321,0.3282461686510292,6.996817174614778,7.33115830926153,7.599353299390093,7.8458672043448505,8.185539725231823,0.030204512227836062
a_subj.7,7.620322822426558,0.34180883388418154,6.969053295377929,7.340405067924455,7.646745932499097,7.876146756289014,8.222282205244268,0.031459857877270334
a_subj.8,7.657889669441713,0.3687480747258377,7.020291981670425,7.346203851789435,7.65056281635851,7.916677006757368,8.37837740346891,0.0333414178668785
a_subj.9,7.563751171898828,0.33429156283382944,6.928761285020603,7.31532321700018,7.574298705237138,7.836152232643139,8.147813173493109,0.030400623766034605
v(L0_00),3.953134531552676,0.16388547835137238,3.671769907798589,3.8270193131555916,3.96085592211976,4.077235743779472,4.264761595481404,0.015583675037623257
v(L0_25),2.5477274483451566,0.10848273260120647,2.3537028530762054,2.45579940506615,2.545663595380006,2.6332893402732176,2.7439490607219406,0.00966871846693579
v_std,0.0870967427053854,0.053052804700492985,0.008114761696611366,0.047421370337873484,0.07961532316090042,0.118016028594991,0.21012534290946439,0.004337248787897751
v_subj(L0_00).0,3.8859600526489513,0.16828135512888812,3.6024479029582284,3.742562653963934,3.8813887772315088,4.006636114384867,4.2291936480485655,0.014583166560862013
v_subj(L0_00).1,3.8933635751554347,0.17127813379487372,3.6109688916496347,3.7465446247040424,3.889277133402956,4.023259120106022,4.238982552762924,0.01470278357040047
v_subj(L0_00).2,3.9475475503703703,0.17546424253781764,3.6485157481696824,3.8073920578091363,3.9556340652423536,4.078854874504603,4.280595521105338,0.015512628960228222
v_subj(L0_00).3,3.9941042468506924,0.1878381942712032,3.6711154173038625,3.847973747748643,4.001155677551221,4.133251361362913,4.3449193785646,0.0167533768998743
v_subj(L0_00).4,3.9875160980164353,0.184156442375749,3.6673753283176116,3.84640279022698,3.994039575887676,4.122220933257085,4.321710001744906,0.016406383779311914
v_subj(L0_00).5,3.9298807329965424,0.1727893112750557,3.641597278176671,3.7853171977191584,3.9365946171160706,4.059437240594941,4.259705170861163,0.015056412183191505
v_subj(L0_00).6,3.978603913070482,0.18179661148114637,3.668369646231422,3.844026276678223,3.9865798919413344,4.10975767255924,4.322538818743801,0.01626924001104604
v_subj(L0_00).7,3.98252174896209,0.18823353764303505,3.6569756332572783,3.8385955638903146,3.991377823222784,4.120985276718145,4.3342810057718495,0.016675741360327474
v_subj(L0_00).8,3.92311949421185,0.17581211077046216,3.6417050519710497,3.7750570556522716,3.921146495309861,4.057853113441044,4.263374263137513,0.015096455990497335
v_subj(L0_00).9,4.01459501768357,0.19664544126252045,3.6724869549174715,3.8770590012069333,4.028250497065071,4.1499941239139435,4.393556126443908,0.017524673090991455
v_subj(L0_25).0,2.5845637357683375,0.13356811453021972,2.354786521045333,2.475857228364983,2.5871825538900306,2.6809100931931584,2.852659873218192,0.010768209559778048
v_subj(L0_25).1,2.582928683167964,0.13502691978409953,2.35489756602796,2.4771107458492256,2.5813942414161093,2.679804043612825,2.8611880568723183,0.010718721352449192
v_subj(L0_25).2,2.5904233054270693,0.1407251770404548,2.3520839497972905,2.482576417524192,2.5908874642212303,2.686502772604397,2.8805144082092338,0.01128464406660851
v_subj(L0_25).3,2.5187223289517453,0.11827802412953292,2.3101656462025915,2.4239176294596647,2.5150172150198635,2.607597575921122,2.7379917220304115,0.009243935836032712
v_subj(L0_25).4,2.59224410553717,0.13915584037691428,2.3577202741193366,2.486582509912952,2.5930647046894277,2.6853870393280737,2.873598746462137,0.011011287145208172
v_subj(L0_25).5,2.5468784547553938,0.1266176280562473,2.332242464209434,2.4437034572337457,2.5426585054926716,2.6410443865021644,2.80991308936706,0.009491295090377837
v_subj(L0_25).6,2.5211788411957095,0.12179603801549033,2.303048157634326,2.424087099092611,2.518536714204321,2.61094297440423,2.758011295585037,0.009250705163211526
v_subj(L0_25).7,2.5105155822743113,0.1236396019052649,2.2798740270726983,2.417859669747134,2.5061217914354885,2.6016360744979705,2.7402523778498447,0.009186982172978624
v_subj(L0_25).8,2.5373840786142545,0.12738319200053425,2.311201327342919,2.43870790815925,2.532524006331342,2.6348287264013277,2.774568228576623,0.00949102522792662
v_subj(L0_25).9,2.5024908675360953,0.12510121807373575,2.2590986013315817,2.4151507995065105,2.4975561015977514,2.593777212574682,2.7439469668625103,0.009204861502040853
t,0.26340162459866756,0.13207189790214494,0.04001436773106254,0.1664956731709102,0.2603964460439875,0.3449016062547128,0.5527855753799291,0.009986240392144907
t_std,0.9330214754970438,0.5157241553243997,0.017382706873546618,0.573107065716711,0.9400989295753027,1.2357624166926717,2.065561485920819,0.03982699803285584
t_subj.0,0.00969409956643127,0.01867555456554852,1.1066687723749235e-14,5.04744391497134e-07,0.0003239397807154017,0.009506077544604617,0.06680159975339105,0.0013802368446085744
t_subj.1,0.00770431398146424,0.017742605572418996,1.1689046075041755e-17,3.8548524096842995e-10,9.63551802507937e-06,0.0031644003974574675,0.06728003218873349,0.001355217826699052
t_subj.2,0.005497758940741546,0.013051261338678769,4.0531969822665364e-11,1.8528712758320192e-07,5.349817690348861e-05,0.0031332982897035932,0.0480977009985064,0.0011225600434237684
t_subj.3,0.005232894872548164,0.012966522732938955,1.0613546078510014e-12,4.497041526647146e-06,0.00016881173408023653,0.002591929685079173,0.04880952506615304,0.0010826803266197292
t_subj.4,0.0069602891868058535,0.015936265575012005,1.3508965060432525e-12,1.1944450100346296e-06,0.00012363136249937765,0.004284671216717359,0.05751485461105618,0.0012484053090256987
t_subj.5,0.01211424638795793,0.021268350160345766,8.106213387273297e-11,1.680727458591545e-06,0.0007547093511465685,0.01572869288167105,0.07400437899009144,0.001585320493424652
t_subj.6,0.0049173263568465676,0.013750603480044254,3.155288948313216e-12,1.1231151090861966e-07,1.2882541342695293e-05,0.0010296670818015965,0.053218624990767495,0.0011473153082417742
t_subj.7,0.006157752857691963,0.017507417121787654,9.872757564398337e-19,3.9235599649673387e-14,4.529923915227446e-11,0.0001600194026348795,0.06149543630599506,0.0014348652067153187
t_subj.8,0.03024218428591469,0.036303589128984404,1.1546423891105569e-08,0.00020062814369747732,0.013359837889983666,0.054902923889004474,0.11677015704739557,0.0023305241517173184
t_subj.9,0.00562942549396181,0.013820917255383746,9.331515732889686e-20,6.9225370851454375e-09,9.476356871498717e-06,0.0026574900603930675,0.05256384464445788,0.0010895235455489387
sv,0.06493940866521641,0.049341724421886494,0.0027119109638041082,0.027130888082029576,0.05406338333587687,0.09296655597863882,0.1900649398834176,0.0016702264749550804
