,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.777422481673092,0.0303487075978117,2.723254838136722,2.7570828870958026,2.7739623727607206,2.797253943577126,2.8439028252917646,0.002154666815427946
a_std,0.0375154197542351,0.032542269101720554,0.0006404137153625583,0.013428215863449167,0.03119164702705499,0.05287908237456118,0.11858306739080504,0.002428551621173385
a_subj.0,2.8006288389904257,0.046269003567790803,2.731067062611615,2.767595536247579,2.7940615348115094,2.8242415870100936,2.9157543874789806,0.0026412399344107962
a_subj.1,2.7551114744978498,0.04552706046242139,2.649260389393692,2.731720798022252,2.7620746394905193,2.7839007736558523,2.8372870488782747,0.0028932472351503604
a_subj.2,2.798906948557086,0.04564999664812422,2.7292825340257134,2.7660823636257037,2.79214726928822,2.8237880242985325,2.9103760277340793,0.002583467545047697
a_subj.3,2.7725708975995453,0.04222097572388236,2.6844516651458226,2.7510560585822796,2.7712437602363558,2.7992918245571525,2.8614081796824813,0.0023256377857316848
a_subj.4,2.7790688658048035,0.03983661124373886,2.6993681868350325,2.7555688571737282,2.775528043667969,2.802743596799578,2.864607209635431,0.0021750973424249764
a_subj.5,2.770057204749408,0.04073268977356427,2.6822410511268986,2.7463332742378768,2.7690738704721,2.7951654412550258,2.8507420124378173,0.0023178352061293066
a_subj.6,2.752920826007213,0.045535246229394546,2.648925230627174,2.7287137293163544,2.7615777708539992,2.7823614311963714,2.8267550009051856,0.0028641124344947204
a_subj.7,2.787256596576608,0.0417749545937218,2.707577310453582,2.7617695848752253,2.7822357834876827,2.8106901288526847,2.875633311554643,0.0022162210907178573
a_subj.8,2.780797429654149,0.039317376979855836,2.7030175194965484,2.7579115193111927,2.7764757605870534,2.8039917647346977,2.8631822731582077,0.0021747877965964902
a_subj.9,2.7715770779280557,0.039799283359005524,2.6832376783408893,2.7488876883840967,2.7706023451580184,2.796710688099569,2.8510785602069206,0.0021503205071551844
v(L0_00),0.7511139486547916,0.04449355247074896,0.6578529684042846,0.7220199273939379,0.7516603159894579,0.7801179369181451,0.8349952541754225,0.002301947037830406
v(L0_25),0.7021206592806175,0.05039323940725024,0.6117024256702394,0.6668018333199252,0.7029206706944429,0.7344140270204326,0.8052245381266653,0.0028931161639491757
v(L0_50),-0.9287092598610359,0.05065848553957072,-1.0332090447183397,-0.9606788473424099,-0.925125495259402,-0.8940854181416333,-0.8336094884726042,0.0030596253440116636
v(L0_75),-1.832944145543095,0.07126124230263309,-1.9772822860655852,-1.8815727303984315,-1.826668033891533,-1.7859903252288722,-1.7019048013447455,0.005375645015441679
v(L1_00),-4.484529134658705,0.09762925850290478,-4.697002785028455,-4.546544957427718,-4.473944378536558,-4.414245479461802,-4.317713922168159,0.008068669465824335
v_std,0.08202013439479819,0.04766644409350739,0.010746780757559608,0.045123247169068105,0.07980693100175017,0.11036635358319018,0.18925899321223177,0.0042891073749199695
v_subj(L0_00).0,0.7545266555676348,0.06861023746788712,0.61791852814543,0.7115286583516864,0.7543636399803743,0.7953796545324129,0.8978059950658182,0.0025377369254324456
v_subj(L0_00).1,0.7435499617010687,0.06926775914675384,0.5933507221571428,0.7028283648127301,0.7469782561697145,0.7873960631020731,0.8783446464520062,0.002540498428589525
v_subj(L0_00).2,0.7337125402089333,0.0702513885093873,0.5868455232183775,0.6921201114966578,0.7349370825272056,0.779258753739937,0.8733743056286285,0.002465343101648137
v_subj(L0_00).3,0.7546486145631006,0.07307371442250006,0.6141532307619386,0.7123027057702689,0.7537535942734351,0.7954845332358033,0.9148130115019364,0.0024592204158296743
v_subj(L0_00).4,0.7598003220148837,0.0662851016341222,0.6317152992964398,0.717198743755275,0.7577447353776267,0.8018368431130616,0.8968599893216083,0.0023965210851172336
v_subj(L0_00).5,0.7607238454110365,0.07336579228988287,0.6233623334087228,0.7154127471376497,0.7590316338377043,0.8006259133007969,0.9205882254218442,0.0024928901108796325
v_subj(L0_00).6,0.7525991941240361,0.06721894704468118,0.6217026554193399,0.7115319993001801,0.7536212471382635,0.7914814559829975,0.8928989070192421,0.0022838945952160863
v_subj(L0_00).7,0.771381384989829,0.07031114960876372,0.6428937171249263,0.7252385943175853,0.7697052313964104,0.8145319556505257,0.9168274017162799,0.002956707117912036
v_subj(L0_00).8,0.7390409513694715,0.07075477614829435,0.5889998159058486,0.6965816912361621,0.7423409198753561,0.7828285581776868,0.8863849228943963,0.002490365248936696
v_subj(L0_00).9,0.7325349331388706,0.07519002640726304,0.5773683665810656,0.6861360679969579,0.7356388978426514,0.778040355409519,0.8881281564160703,0.002664175980530756
v_subj(L0_25).0,0.735827255967472,0.08907162957852678,0.59357426155625,0.6742084242045034,0.7250030592269158,0.7875828349003103,0.9404439567597465,0.004361319867137404
v_subj(L0_25).1,0.6925131953335302,0.07777724045485876,0.5395812020611768,0.6437745562593938,0.6946433815511083,0.7411576811840517,0.8506582073769453,0.0027950868705370344
v_subj(L0_25).2,0.6796640842068543,0.06955723972183385,0.5455878746586426,0.6342797586662484,0.6803048040456106,0.7223678863077581,0.8177884331582514,0.0028057362186138827
v_subj(L0_25).3,0.742818672272103,0.08550473886779734,0.5957628749803829,0.6872411005459471,0.7329683936478009,0.7936042647707411,0.9334103849210066,0.0045989343034492465
v_subj(L0_25).4,0.6934235500476241,0.07230856042952233,0.5526335973532587,0.6457344211540573,0.6950102967810956,0.7391509268831971,0.8482668845605408,0.0026760914641253295
v_subj(L0_25).5,0.7073636461953717,0.07693649028629537,0.5613396421800732,0.6560726000776064,0.7045746388837943,0.7537294306739397,0.8765496580360846,0.0033045200588274087
v_subj(L0_25).6,0.7030713031184983,0.07268175953389171,0.5645178461949947,0.6535901234337577,0.7025565230979156,0.7468919400351195,0.855752466172041,0.0029808453433675546
v_subj(L0_25).7,0.6750291064835772,0.06843001781070797,0.5351640991797874,0.6310227778433865,0.676173657321448,0.7188018775566873,0.8064667481620904,0.0025914092700434458
v_subj(L0_25).8,0.7118117597558814,0.0820690317733838,0.5625822617364741,0.6577828813367951,0.7080759715023759,0.7598312964543091,0.8852545723534065,0.003305532470411212
v_subj(L0_25).9,0.6862367940165247,0.07145608799118093,0.5430633397238519,0.6397295670979113,0.689620145820245,0.731704117104826,0.8261578953681459,0.002750612671012352
v_subj(L0_50).0,-0.8782414163919257,0.07869574230939919,-1.0181029981338723,-0.9335043878918552,-0.8847076825620475,-0.8270616066840453,-0.7030339597606545,0.003988733039582628
v_subj(L0_50).1,-0.9848067995591171,0.09081699556259819,-1.188334323993772,-1.0378427387270701,-0.9724361157709257,-0.919991130207446,-0.83338867758655,0.005090718249745861
v_subj(L0_50).2,-0.9111622777020134,0.07905757422969964,-1.0677463447605475,-0.9606949425521853,-0.9121212603738186,-0.8642908229463819,-0.7454889839802415,0.0032326028872255385
v_subj(L0_50).3,-0.8903730204528137,0.07383446896996451,-1.036273460363179,-0.9379267759765937,-0.8952961979457236,-0.8431663240919449,-0.7347927225907707,0.0034530548125631067
v_subj(L0_50).4,-0.9567104399213981,0.08429277571733791,-1.1452012517330452,-1.0031499057662827,-0.9476435188734638,-0.9010046834530535,-0.8097226570795892,0.003933134486502707
v_subj(L0_50).5,-0.8751019415624767,0.08002973525971965,-1.0226628350065532,-0.9289056363076662,-0.8818323526264004,-0.8241708201349471,-0.7071285953763815,0.004206096511412972
v_subj(L0_50).6,-1.0084155182692942,0.10289110057840548,-1.2501973708339547,-1.0694275753598044,-0.9893219638136433,-0.9333544812204433,-0.8555810574028162,0.006554687032917059
v_subj(L0_50).7,-0.8897945084965289,0.07786189752855228,-1.0337540049525826,-0.9405299506980647,-0.8972947064013831,-0.8415290419726882,-0.72719240201247,0.003846239440282017
v_subj(L0_50).8,-0.9623141515282673,0.07420083499436897,-1.1212371148809743,-1.0088180316493784,-0.9557899190817043,-0.9118168144064827,-0.828782317881495,0.0036614636026293815
v_subj(L0_50).9,-0.9306624514888692,0.07620245621282301,-1.0917668987254772,-0.9782230752859877,-0.9257817951862792,-0.8837962449572219,-0.7810179967473662,0.003101261335409846
v_subj(L0_75).0,-1.7225353670912587,0.11603856113501745,-1.919289442786761,-1.8014829859761523,-1.7409689665446328,-1.6574321836823096,-1.4459575700108305,0.007526799286051185
v_subj(L0_75).1,-1.8668686105923282,0.10552816732266158,-2.104490447321906,-1.9339520069269451,-1.8537441655805522,-1.792061874348006,-1.6920640435842316,0.006646970776462688
v_subj(L0_75).2,-1.8172075930032487,0.10123623195781319,-2.033291419887438,-1.877907462752538,-1.810714229529583,-1.753044543410585,-1.6256502695037547,0.005144289238700186
v_subj(L0_75).3,-1.8615475446183836,0.10066390990876137,-2.0747022228708087,-1.927082985633604,-1.845158546282406,-1.7959922799663812,-1.6837130167400236,0.006177359847964319
v_subj(L0_75).4,-1.8782120992002427,0.11151172373363404,-2.1272553049721488,-1.9514477670460881,-1.8614597242855355,-1.7970462744797198,-1.6932104894186257,0.007390602252848433
v_subj(L0_75).5,-1.8574726570922666,0.10144777930261928,-2.081612799991218,-1.922868038170895,-1.8408594336641573,-1.788953649180097,-1.6866525614130838,0.006213758869812649
v_subj(L0_75).6,-1.8527916170531264,0.10134438391462648,-2.075245087227795,-1.9166502062059487,-1.8414552535118582,-1.7864391765797527,-1.6744065785278885,0.006179421758351017
v_subj(L0_75).7,-1.9252144949385925,0.13608929290730182,-2.226324614255084,-2.0073621230781136,-1.9084129528958227,-1.8172433365650882,-1.7155093630382285,0.010330702317498398
v_subj(L0_75).8,-1.7705763774496628,0.09565125281495522,-1.949611304144366,-1.8307762242452346,-1.7762523104258912,-1.711425948256325,-1.5673491008205178,0.005105774299487889
v_subj(L0_75).9,-1.7761528517873453,0.09952038079001628,-1.958041683156651,-1.8378457882519748,-1.7863974106569038,-1.7170530352285702,-1.5567189478183274,0.005115182238110287
v_subj(L1_00).0,-4.3664823484000195,0.1425381050750848,-4.6086219043519385,-4.45728526932083,-4.381065287145655,-4.296259632040537,-4.02844854483237,0.009744420907218136
v_subj(L1_00).1,-4.5635774363418795,0.16094802764812993,-4.9576105756744315,-4.655106895652508,-4.535237262780849,-4.4501337586275795,-4.3309489795918,0.012354252226001883
v_subj(L1_00).2,-4.449510474056842,0.11987655956982522,-4.7010862938856945,-4.522861341545667,-4.4478069765013135,-4.372691190562719,-4.216528609281849,0.007684892532123007
v_subj(L1_00).3,-4.485795186491268,0.12312013923819118,-4.748305266865917,-4.559231284591007,-4.475948797799437,-4.405615082516702,-4.256495773102611,0.008148104356892432
v_subj(L1_00).4,-4.458262097497504,0.1186049493623355,-4.711024054732019,-4.528002305935981,-4.453512645350694,-4.3832300434907605,-4.233876995669925,0.007345953988741982
v_subj(L1_00).5,-4.522030504328487,0.13591018774887048,-4.822433769812181,-4.607630444842682,-4.498314635768305,-4.426031534680126,-4.298160365421203,0.009553655435145313
v_subj(L1_00).6,-4.541535696515293,0.14148644632871826,-4.858150924435905,-4.628521677782992,-4.5144527958401675,-4.442199253826844,-4.322164703983444,0.010823331610168171
v_subj(L1_00).7,-4.4713983727374655,0.1259975066826534,-4.737659389182775,-4.545292211193597,-4.464021968784985,-4.3924865037000975,-4.232641505489504,0.008026106741595995
v_subj(L1_00).8,-4.500386514662119,0.12455698793891286,-4.779713345114629,-4.574008551047409,-4.478786465696695,-4.415873985855848,-4.294921104417239,0.008660624599208187
v_subj(L1_00).9,-4.4941328712096125,0.12974673830816627,-4.768276840645186,-4.570812692239732,-4.475670122335442,-4.408004124483204,-4.262703368123147,0.008750462929072405
t,0.2664137794154733,0.10770062122386319,0.10707837832222819,0.18437091755147694,0.25183396837326466,0.3330847475080172,0.5001406103578788,0.007146000522278104
t_std,1.334131762237228,0.5455103853938749,0.5290792593551555,0.9278097532182604,1.260727986276678,1.641088406851342,2.608246878590082,0.037133582412317866
t_subj.0,5.179190503417506e-05,0.0003584781070028109,1.3872575312221317e-29,2.367005331285965e-16,4.178682386609484e-10,4.0087614183942405e-07,0.0004602559896443722,1.8582997682098515e-05
t_subj.1,9.253850036594418e-05,0.0003211365328453709,1.765724679722422e-14,3.3676151006251814e-10,2.763601507336636e-07,3.6026684816980775e-05,0.000829124167056057,1.8287461129452307e-05
t_subj.2,4.677309328024288e-14,5.331690459154965e-13,1.7474300651520686e-47,4.7880207322494104e-33,7.547436166074964e-24,9.035363495516203e-19,1.1707241774598344e-13,2.5885979457670587e-14
t_subj.3,0.00010141499648545166,0.0004123096947458056,5.4180093287310605e-22,1.1866087268796026e-13,3.9212045815267556e-09,2.4604261764515705e-06,0.0012985913454267822,2.5465517230190865e-05
t_subj.4,5.034206354654511e-05,0.00025413952631271554,4.126689369093452e-21,3.4545848772808613e-15,7.532869211390415e-12,1.290355302529991e-07,0.0005747774569350118,1.5704525753407428e-05
