subj_idx,rt,response,condition,original_choice,is_correct
0,10.0,1,L0_75,0,True
0,1.7300000000000013,1,L0_00,1,True
0,3.249999999999977,0,L0_50,1,False
0,0.43000000000000016,1,L0_25,1,True
0,6.489999999999908,1,L0_25,1,True
0,10.0,1,L1_00,0,True
0,0.3500000000000001,0,L1_00,1,False
0,1.0100000000000007,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,0.7800000000000004,0,L1_00,1,False
0,6.059999999999917,0,L0_75,1,False
0,10.0,1,L0_50,0,True
0,0.21999999999999997,0,L1_00,1,False
0,5.91999999999992,0,L0_50,1,False
0,0.13,0,L1_00,1,False
0,0.18,0,L0_75,1,False
0,0.19,0,L1_00,1,False
0,10.0,1,L0_50,0,True
0,10.0,1,L1_00,0,True
0,1.260000000000001,0,L0_75,1,False
0,2.6699999999999893,0,L0_50,1,False
0,1.1000000000000008,1,L0_25,1,True
0,10.0,1,L0_75,0,True
0,1.7000000000000013,0,L0_75,1,False
0,3.6499999999999684,1,L0_25,1,True
0,0.9000000000000005,1,L0_00,1,True
0,0.8800000000000004,0,L0_75,1,False
0,1.350000000000001,0,L1_00,1,False
0,0.19,0,L1_00,1,False
0,10.0,1,L0_75,0,True
0,10.0,1,L1_00,0,True
0,1.0400000000000007,0,L1_00,1,False
0,1.350000000000001,0,L0_50,1,False
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L0_50,0,True
0,10.0,1,L1_00,0,True
0,10.0,1,L1_00,0,True
0,1.6900000000000013,0,L0_50,1,False
0,10.0,1,L0_75,0,True
0,3.0699999999999807,1,L0_00,1,True
0,10.0,1,L0_75,0,True
0,10.0,1,L0_50,0,True
0,1.8900000000000015,0,L1_00,1,False
0,0.3700000000000001,1,L0_25,1,True
0,2.259999999999998,0,L0_50,1,False
0,2.7599999999999874,1,L0_00,1,True
0,2.4599999999999937,1,L0_00,1,True
0,0.31000000000000005,0,L0_75,1,False
0,10.0,1,L0_75,0,True
0,0.7400000000000003,1,L0_25,1,True
0,10.0,1,L0_50,0,True
0,1.480000000000001,1,L0_00,1,True
0,10.0,1,L0_50,0,True
0,1.310000000000001,0,L0_75,1,False
0,3.809999999999965,0,L0_75,1,False
0,0.17,0,L1_00,1,False
0,10.0,1,L0_75,0,True
