subject_idx,true_v_norm,recovered_mean_v_norm,recovered_median_v_norm,recovered_std_v_norm,true_a_0,recovered_mean_a_0,recovered_median_a_0,recovered_std_a_0,true_w_s_eff,recovered_mean_w_s_eff,recovered_median_w_s_eff,recovered_std_w_s_eff,true_t_0,recovered_mean_t_0,recovered_median_t_0,recovered_std_t_0
0,1.1404,1.1982,1.1954,0.0661,1.4875,1.4236,1.4279,0.0811,0.8972,0.9245,0.9234,0.0523,0.1657,0.2150,0.2158,0.0385
1,0.7598,0.7765,0.7759,0.0489,1.9294,1.7975,1.7976,0.0823,0.6009,0.5395,0.5403,0.0379,0.2775,0.3736,0.3769,0.0581
2,0.2404,0.1914,0.1902,0.0373,0.7891,0.7900,0.7889,0.0557,1.4203,1.3740,1.3821,0.0738,0.3492,0.3348,0.3352,0.0130
3,0.7048,0.6557,0.6579,0.0416,1.1328,1.2205,1.2175,0.0592,0.6586,0.6265,0.6267,0.0418,0.3871,0.3670,0.3677,0.0327
4,1.3849,1.4238,1.4242,0.0671,0.9202,0.9496,0.9511,0.0511,0.6034,0.6767,0.6760,0.0478,0.0764,0.1023,0.1029,0.0177
5,0.9363,0.9774,0.9760,0.0540,0.7481,0.7250,0.7250,0.0407,1.1241,1.0275,1.0279,0.0636,0.1049,0.1110,0.1110,0.0114
6,1.7398,1.7321,1.7352,0.0910,1.9308,1.8858,1.8944,0.0700,0.9096,0.8676,0.8707,0.0510,0.2553,0.2284,0.2286,0.0536
7,0.1458,0.1607,0.1604,0.0321,1.5253,1.5476,1.5468,0.0855,0.9474,1.0130,1.0156,0.0593,0.1920,0.1925,0.1928,0.0383
8,1.0578,1.0787,1.0789,0.0544,0.8668,0.8390,0.8381,0.0410,0.4044,0.3699,0.3677,0.0394,0.1110,0.1110,0.1113,0.0156
9,0.2614,0.2935,0.2933,0.0401,0.6135,0.6147,0.6147,0.0358,0.2163,0.2474,0.2433,0.0313,0.4266,0.4258,0.4259,0.0100
10,1.9672,1.8636,1.8693,0.0758,0.7231,0.6858,0.6857,0.0380,0.6330,0.6478,0.6452,0.0494,0.1985,0.2150,0.2154,0.0121
11,1.2023,1.2491,1.2499,0.0599,0.8573,0.8303,0.8290,0.0409,0.4092,0.4044,0.4044,0.0389,0.1932,0.2323,0.2329,0.0167
12,0.2234,0.2263,0.2260,0.0347,1.8088,1.8110,1.8156,0.0808,0.4317,0.4228,0.4248,0.0371,0.1117,0.1288,0.1231,0.0442
13,0.5356,0.5346,0.5345,0.0412,1.6451,1.6597,1.6565,0.0805,0.4708,0.4496,0.4505,0.0338,0.4101,0.3651,0.3696,0.0529
14,1.5193,1.5783,1.5776,0.0790,1.0717,1.1097,1.1060,0.0620,0.3396,0.3974,0.3973,0.0366,0.3118,0.2821,0.2833,0.0318
15,0.8559,0.8833,0.8838,0.0516,1.8311,1.8426,1.8476,0.0780,0.6395,0.6400,0.6421,0.0407,0.3762,0.3927,0.3966,0.0556
16,0.9230,0.8782,0.8785,0.0481,1.3464,1.2661,1.2605,0.0666,1.0000,0.9371,0.9383,0.0489,0.3608,0.3736,0.3750,0.0320
17,0.1452,0.1915,0.1895,0.0347,1.7407,1.8000,1.8002,0.0874,1.0445,1.0268,1.0242,0.0564,0.4500,0.4390,0.4431,0.0353
18,1.0691,1.0672,1.0677,0.0596,0.7407,0.7489,0.7473,0.0412,0.9323,0.8590,0.8599,0.0559,0.2891,0.2621,0.2624,0.0116
19,1.8528,1.8918,1.9004,0.0707,1.4653,1.4630,1.4565,0.0942,0.9327,0.9633,0.9651,0.0595,0.1425,0.1646,0.1647,0.0379
20,0.7464,0.7930,0.7925,0.0474,0.7715,0.7164,0.7176,0.0426,1.4303,1.3003,1.3005,0.0678,0.3237,0.3184,0.3184,0.0113
21,1.7577,1.8827,1.8924,0.0759,1.0396,1.1328,1.1332,0.0645,0.2635,0.3276,0.3276,0.0389,0.0868,0.0936,0.0926,0.0232
22,1.9731,1.8027,1.8035,0.0784,0.8932,0.8340,0.8336,0.0515,1.2533,1.1561,1.1580,0.0624,0.2111,0.2191,0.2197,0.0159
23,0.9785,1.0300,1.0285,0.0551,1.1175,1.0150,1.0142,0.0513,0.4019,0.3608,0.3606,0.0357,0.1930,0.2201,0.2213,0.0248
24,0.5925,0.6933,0.6926,0.0443,1.9442,1.7148,1.7183,0.0849,1.4640,1.4551,1.4644,0.0361,0.1129,0.2156,0.2149,0.0456
25,1.4743,1.5601,1.5638,0.0803,1.6020,1.4562,1.4529,0.0771,0.2898,0.2560,0.2538,0.0299,0.2319,0.2071,0.2068,0.0456
26,1.1978,1.2056,1.2054,0.0586,1.4519,1.3975,1.3950,0.0778,1.4862,1.4417,1.4497,0.0434,0.2378,0.1960,0.1965,0.0338
27,0.2260,0.2372,0.2375,0.0366,1.0914,1.1238,1.1227,0.0624,0.9347,0.9062,0.9057,0.0603,0.0937,0.0904,0.0895,0.0197
28,0.7698,0.7934,0.7932,0.0473,0.9144,0.8334,0.8325,0.0487,1.3091,1.1685,1.1695,0.0642,0.2603,0.2613,0.2612,0.0151
29,0.3948,0.3737,0.3730,0.0351,1.1747,1.1303,1.1300,0.0663,1.0999,1.0487,1.0476,0.0640,0.2240,0.2391,0.2399,0.0255
