subject,trial,ll_delay,choice,v_ll,v_ss
0.0,1,50,Choose_SS,4.545895480291727,5
0.0,2,50,Choose_SS,4.545895480291727,5
0.0,3,1,Choose_LL,9.765665701417992,5
0.0,4,20,Choose_SS,6.757146464698202,5
0.0,5,1,Choose_LL,9.765665701417992,5
0.0,6,20,Choose_LL,6.757146464698202,5
0.0,7,10,Choose_LL,8.064793703311347,5
0.0,8,20,Choose_LL,6.757146464698202,5
0.0,9,1,Choose_LL,9.765665701417992,5
0.0,10,1,Choose_LL,9.765665701417992,5
0.0,11,1,Choose_LL,9.765665701417992,5
0.0,12,1,Choose_LL,9.765665701417992,5
0.0,13,10,Choose_LL,8.064793703311347,5
0.0,14,10,Choose_LL,8.064793703311347,5
0.0,15,5,Choose_LL,8.928741546418035,5
0.0,16,20,Choose_LL,6.757146464698202,5
0.0,17,1,Choose_LL,9.765665701417992,5
0.0,18,5,Choose_LL,8.928741546418035,5
0.0,19,5,Choose_LL,8.928741546418035,5
0.0,20,1,Choose_LL,9.765665701417992,5
0.0,21,20,Choose_LL,6.757146464698202,5
0.0,22,1,Choose_LL,9.765665701417992,5
0.0,23,10,Choose_LL,8.064793703311347,5
0.0,24,10,Choose_LL,8.064793703311347,5
0.0,25,1,Choose_LL,9.765665701417992,5
0.0,26,20,Choose_LL,6.757146464698202,5
0.0,27,1,Choose_LL,9.765665701417992,5
0.0,28,50,Choose_SS,4.545895480291727,5
0.0,29,5,Choose_LL,8.928741546418035,5
0.0,30,10,Choose_SS,8.064793703311347,5
0.0,31,50,Choose_SS,4.545895480291727,5
0.0,32,50,Choose_SS,4.545895480291727,5
0.0,33,5,Choose_LL,8.928741546418035,5
0.0,34,5,Choose_LL,8.928741546418035,5
0.0,35,20,Choose_LL,6.757146464698202,5
0.0,36,20,Choose_LL,6.757146464698202,5
0.0,37,1,Choose_LL,9.765665701417992,5
0.0,38,50,Choose_SS,4.545895480291727,5
0.0,39,5,Choose_LL,8.928741546418035,5
0.0,40,5,Choose_SS,8.928741546418035,5
0.0,41,10,Choose_LL,8.064793703311347,5
0.0,42,1,Choose_LL,9.765665701417992,5
0.0,43,1,Choose_LL,9.765665701417992,5
0.0,44,1,Choose_LL,9.765665701417992,5
0.0,45,50,Choose_SS,4.545895480291727,5
0.0,46,1,Choose_LL,9.765665701417992,5
0.0,47,1,Choose_SS,9.765665701417992,5
0.0,48,10,Choose_LL,8.064793703311347,5
0.0,49,1,Choose_LL,9.765665701417992,5
0.0,50,50,Choose_SS,4.545895480291727,5
1.0,1,20,Choose_SS,4.527979072473756,5
1.0,2,5,Choose_LL,7.679767853399769,5
1.0,3,20,Choose_SS,4.527979072473756,5
1.0,4,20,Choose_SS,4.527979072473756,5
1.0,5,50,Choose_SS,2.4868031997352102,5
1.0,6,5,Choose_LL,7.679767853399769,5
1.0,7,20,Choose_SS,4.527979072473756,5
1.0,8,50,Choose_SS,2.4868031997352102,5
1.0,9,5,Choose_LL,7.679767853399769,5
1.0,10,1,Choose_LL,9.43018539813132,5
1.0,11,20,Choose_SS,4.527979072473756,5
1.0,12,5,Choose_LL,7.679767853399769,5
1.0,13,10,Choose_LL,6.23346034556581,5
1.0,14,20,Choose_SS,4.527979072473756,5
1.0,15,50,Choose_LL,2.4868031997352102,5
1.0,16,50,Choose_SS,2.4868031997352102,5
1.0,17,20,Choose_LL,4.527979072473756,5
1.0,18,1,Choose_LL,9.43018539813132,5
1.0,19,10,Choose_LL,6.23346034556581,5
1.0,20,5,Choose_LL,7.679767853399769,5
1.0,21,1,Choose_LL,9.43018539813132,5
1.0,22,20,Choose_SS,4.527979072473756,5
1.0,23,50,Choose_SS,2.4868031997352102,5
1.0,24,10,Choose_LL,6.23346034556581,5
1.0,25,20,Choose_SS,4.527979072473756,5
1.0,26,50,Choose_SS,2.4868031997352102,5
1.0,27,20,Choose_SS,4.527979072473756,5
1.0,28,1,Choose_SS,9.43018539813132,5
1.0,29,20,Choose_SS,4.527979072473756,5
1.0,30,1,Choose_LL,9.43018539813132,5
1.0,31,1,Choose_LL,9.43018539813132,5
1.0,32,20,Choose_SS,4.527979072473756,5
1.0,33,50,Choose_SS,2.4868031997352102,5
1.0,34,50,Choose_SS,2.4868031997352102,5
1.0,35,10,Choose_LL,6.23346034556581,5
1.0,36,10,Choose_LL,6.23346034556581,5
1.0,37,10,Choose_LL,6.23346034556581,5
1.0,38,5,Choose_LL,7.679767853399769,5
1.0,39,20,Choose_SS,4.527979072473756,5
1.0,40,1,Choose_LL,9.43018539813132,5
1.0,41,1,Choose_LL,9.43018539813132,5
1.0,42,10,Choose_LL,6.23346034556581,5
1.0,43,50,Choose_LL,2.4868031997352102,5
1.0,44,20,Choose_SS,4.527979072473756,5
1.0,45,20,Choose_SS,4.527979072473756,5
1.0,46,5,Choose_LL,7.679767853399769,5
1.0,47,10,Choose_LL,6.23346034556581,5
1.0,48,50,Choose_SS,2.4868031997352102,5
1.0,49,5,Choose_SS,7.679767853399769,5
1.0,50,5,Choose_LL,7.679767853399769,5
2.0,1,10,Choose_SS,5.233155265479899,5
2.0,2,10,Choose_SS,5.233155265479899,5
2.0,3,20,Choose_SS,3.5438547364464914,5
2.0,4,50,Choose_SS,1.8003533365108753,5
2.0,5,1,Choose_LL,9.16515262205734,5
2.0,6,20,Choose_SS,3.5438547364464914,5
2.0,7,1,Choose_LL,9.16515262205734,5
2.0,8,20,Choose_SS,3.5438547364464914,5
2.0,9,20,Choose_LL,3.5438547364464914,5
2.0,10,1,Choose_LL,9.16515262205734,5
2.0,11,10,Choose_SS,5.233155265479899,5
2.0,12,20,Choose_SS,3.5438547364464914,5
2.0,13,10,Choose_SS,5.233155265479899,5
2.0,14,5,Choose_LL,6.8707436828125,5
2.0,15,20,Choose_SS,3.5438547364464914,5
2.0,16,10,Choose_SS,5.233155265479899,5
2.0,17,20,Choose_SS,3.5438547364464914,5
2.0,18,50,Choose_SS,1.8003533365108753,5
2.0,19,10,Choose_SS,5.233155265479899,5
2.0,20,10,Choose_SS,5.233155265479899,5
2.0,21,5,Choose_LL,6.8707436828125,5
2.0,22,50,Choose_SS,1.8003533365108753,5
2.0,23,5,Choose_LL,6.8707436828125,5
2.0,24,5,Choose_LL,6.8707436828125,5
2.0,25,5,Choose_LL,6.8707436828125,5
2.0,26,10,Choose_SS,5.233155265479899,5
2.0,27,20,Choose_SS,3.5438547364464914,5
2.0,28,1,Choose_SS,9.16515262205734,5
2.0,29,10,Choose_LL,5.233155265479899,5
2.0,30,20,Choose_SS,3.5438547364464914,5
2.0,31,5,Choose_LL,6.8707436828125,5
2.0,32,5,Choose_LL,6.8707436828125,5
2.0,33,10,Choose_SS,5.233155265479899,5
2.0,34,20,Choose_SS,3.5438547364464914,5
2.0,35,20,Choose_SS,3.5438547364464914,5
2.0,36,10,Choose_SS,5.233155265479899,5
2.0,37,50,Choose_SS,1.8003533365108753,5
2.0,38,50,Choose_SS,1.8003533365108753,5
2.0,39,10,Choose_SS,5.233155265479899,5
2.0,40,5,Choose_LL,6.8707436828125,5
2.0,41,20,Choose_SS,3.5438547364464914,5
2.0,42,1,Choose_LL,9.16515262205734,5
2.0,43,10,Choose_SS,5.233155265479899,5
2.0,44,20,Choose_SS,3.5438547364464914,5
2.0,45,10,Choose_SS,5.233155265479899,5
2.0,46,1,Choose_LL,9.16515262205734,5
2.0,47,20,Choose_SS,3.5438547364464914,5
2.0,48,5,Choose_LL,6.8707436828125,5
2.0,49,50,Choose_SS,1.8003533365108753,5
2.0,50,5,Choose_LL,6.8707436828125,5
3.0,1,50,Choose_SS,2.6102411313045524,5
3.0,2,50,Choose_SS,2.6102411313045524,5
3.0,3,1,Choose_LL,9.464128964115318,5
3.0,4,1,Choose_LL,9.464128964115318,5
3.0,5,1,Choose_LL,9.464128964115318,5
3.0,6,5,Choose_LL,7.793586134133481,5
3.0,7,10,Choose_LL,6.384828680868443,5
3.0,8,50,Choose_SS,2.6102411313045524,5
3.0,9,1,Choose_LL,9.464128964115318,5
3.0,10,20,Choose_SS,4.689495659813482,5
3.0,11,5,Choose_LL,7.793586134133481,5
3.0,12,5,Choose_LL,7.793586134133481,5
3.0,13,10,Choose_LL,6.384828680868443,5
3.0,14,50,Choose_SS,2.6102411313045524,5
3.0,15,50,Choose_SS,2.6102411313045524,5
3.0,16,50,Choose_SS,2.6102411313045524,5
3.0,17,5,Choose_LL,7.793586134133481,5
