param_swept,w_n,a,w_s,n_choice_1,n_choice_0,choice_rate,rt_mean,rt_median,rt_var,rt_skew,rt_q10,rt_q30,rt_q50,rt_q70,rt_q90,rt_min,rt_max,rt_range,choice_1_rt_mean,choice_1_rt_median,choice_1_rt_var,choice_1_rt_skew,choice_1_rt_q10,choice_1_rt_q30,choice_1_rt_q50,choice_1_rt_q70,choice_1_rt_q90,choice_1_rt_min,choice_1_rt_max,choice_1_rt_range,choice_0_rt_mean,choice_0_rt_median,choice_0_rt_var,choice_0_rt_skew,choice_0_rt_q10,choice_0_rt_q30,choice_0_rt_q50,choice_0_rt_q70,choice_0_rt_q90,choice_0_rt_min,choice_0_rt_max,choice_0_rt_range,rt_bin_0,rt_bin_1,rt_bin_2,rt_bin_3,rt_bin_4,rt_bin_5,rt_bin_6,rt_bin_7,rt_bin_8,rt_bin_9
w_n,0.2000,1.0000,0.7000,357,143,0.7140,1.6811,1.7300,0.0969,-0.6722,1.2090,1.5100,1.7300,1.9900,2.0000,0.6200,2.0000,1.3800,1.5533,1.5900,0.0786,-0.4157,1.1600,1.3900,1.5900,1.7300,1.9000,0.6200,2.0000,1.3800,2.0000,2.0000,0.0000,,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,0.0000,0.0145,0.0290,0.1594,0.3768,0.4783,0.7101,0.7536,1.0145,0.8841,2.8261
w_n,0.5000,1.0000,0.7000,228,272,0.4560,1.7652,2.0000,0.1031,-1.0650,1.2190,1.6400,2.0000,2.0000,2.0000,0.7600,2.0000,1.2400,1.4850,1.4900,0.0818,-0.0870,1.0970,1.3100,1.4900,1.6790,1.8700,0.7600,2.0000,1.2400,2.0000,2.0000,0.0000,,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,0.0000,0.0323,0.0968,0.3871,0.3871,0.5161,0.4677,0.4355,0.6774,0.3226,4.7419
w_n,0.8000,1.0000,0.7000,220,280,0.4400,1.7673,2.0000,0.0973,-0.9698,1.2690,1.6070,2.0000,2.0000,2.0000,0.8800,2.0000,1.1200,1.4711,1.4700,0.0645,0.0214,1.1690,1.3100,1.4700,1.6130,1.8030,0.8800,2.0000,1.1200,2.0000,2.0000,0.0000,,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,0.0000,0.1071,0.1429,0.3571,0.6429,0.5714,0.6429,0.5179,0.3929,0.3393,5.2143
w_n,1.1000,1.0000,0.7000,220,280,0.4400,1.7689,2.0000,0.0990,-1.0229,1.2390,1.6100,2.0000,2.0000,2.0000,0.8700,2.0000,1.1300,1.4749,1.4800,0.0705,-0.0251,1.1300,1.3000,1.4800,1.6200,1.8400,0.8700,1.9900,1.1200,2.0000,2.0000,0.0000,,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,0.0000,0.1062,0.1062,0.5310,0.5487,0.3894,0.5664,0.6372,0.4602,0.2655,5.2389
w_n,1.4000,1.0000,0.7000,210,290,0.4200,1.7755,2.0000,0.1013,-1.1115,1.2490,1.6470,2.0000,2.0000,2.0000,0.8800,2.0000,1.1200,1.4656,1.4600,0.0755,-0.0458,1.1190,1.2800,1.4600,1.6300,1.8300,0.8800,1.9900,1.1100,2.0000,2.0000,0.0000,,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,0.0000,0.1607,0.1786,0.3929,0.5536,0.5000,0.3929,0.5536,0.4464,0.3214,5.4286
w_n,1.7000,1.0000,0.7000,218,282,0.4360,1.7740,2.0000,0.0933,-1.0077,1.3000,1.6100,2.0000,2.0000,2.0000,0.7800,2.0000,1.2200,1.4816,1.4700,0.0624,-0.0674,1.1570,1.3500,1.4700,1.6190,1.8100,0.7800,1.9700,1.1900,2.0000,2.0000,0.0000,,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,0.0000,0.0328,0.0656,0.2459,0.3770,0.5410,0.7541,0.5082,0.4426,0.3607,4.8689
w_n,2.0000,1.0000,0.7000,217,283,0.4340,1.7612,2.0000,0.1044,-0.9766,1.2400,1.6100,2.0000,2.0000,2.0000,0.8400,2.0000,1.1600,1.4497,1.4400,0.0692,0.0656,1.1000,1.2900,1.4400,1.6300,1.8200,0.8400,2.0000,1.1600,2.0000,2.0000,0.0000,,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,0.0000,0.0517,0.2414,0.3448,0.6034,0.5345,0.5690,0.4483,0.3966,0.3621,5.0690
a,0.8000,0.5000,0.7000,244,256,0.4880,1.4376,2.0000,0.3676,-0.2850,0.6200,0.8700,2.0000,2.0000,2.0000,0.3500,2.0000,1.6500,0.8475,0.7800,0.0731,0.9166,0.5500,0.6700,0.7800,0.9300,1.2300,0.3500,1.9600,1.6100,2.0000,2.0000,0.0000,,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,0.0000,0.1939,0.7030,0.8485,0.4485,0.3515,0.2424,0.1333,0.0121,0.0121,3.1152
a,0.8000,0.8000,0.7000,239,261,0.4780,1.6455,2.0000,0.1740,-0.5760,1.0190,1.3170,2.0000,2.0000,2.0000,0.5500,2.0000,1.4500,1.2583,1.2300,0.0768,0.5220,0.9400,1.0900,1.2300,1.3700,1.6420,0.5500,2.0000,1.4500,2.0000,2.0000,0.0000,,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,0.0000,0.0138,0.0966,0.4138,0.6069,0.8000,0.5655,0.3862,0.1379,0.1517,3.7241
a,0.8000,1.1000,0.7000,196,304,0.3920,1.8453,2.0000,0.0575,-1.4114,1.4690,1.7900,2.0000,2.0000,2.0000,0.9700,2.0000,1.0300,1.6054,1.6150,0.0519,-0.3513,1.2850,1.4900,1.6150,1.7400,1.9200,0.9700,2.0000,1.0300,2.0000,2.0000,0.0000,,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,0.0000,0.0583,0.0583,0.2136,0.3495,0.4078,0.6214,0.6602,0.5631,0.3301,6.4466
