rank_v_norm,rank_a_0,rank_w_s_eff,rank_t_0,rank_alpha_gain
409,464,470,36,440
354,173,22,323,68
413,429,469,99,312
60,12,61,496,500
307,401,410,111,309
497,473,497,126,277
18,251,139,129,306
274,181,195,397,108
52,474,466,95,477
437,214,80,217,113
38,397,312,20,229
168,311,464,97,474
81,6,130,472,476
351,417,331,53,117
238,284,246,387,188
249,289,15,447,91
115,126,316,386,459
85,496,473,63,441
482,357,24,62,198
101,244,288,126,119
40,4,110,497,434
437,45,268,489,327
274,99,112,453,240
14,359,94,12,493
305,333,475,160,114
146,208,55,326,160
350,305,296,273,42
444,379,452,183,440
191,471,310,2,191
219,445,1,29,301
137,109,255,440,500
470,410,315,236,376
72,329,359,49,470
398,216,423,401,337
474,37,41,457,192
100,377,407,234,145
337,165,84,320,316
343,45,147,481,209
339,454,90,70,339
500,414,75,202,4
345,203,413,253,357
133,133,49,112,293
106,128,350,148,484
398,94,33,393,8
388,493,328,128,27
94,389,238,114,237
362,192,396,292,257
211,344,244,57,196
197,260,206,186,468
105,7,56,461,428
46,49,40,347,139
245,419,387,115,312
301,403,33,62,380
85,69,137,475,335
487,368,452,274,84
456,341,279,193,113
306,308,353,79,204
471,68,156,483,177
301,226,333,196,232
500,35,259,485,193
241,450,499,59,497
339,106,225,470,19
306,99,196,405,337
343,150,111,423,71
488,414,336,309,151
110,298,46,134,31
182,434,437,45,400
365,335,369,301,65
119,170,336,190,445
318,76,15,479,341
180,435,317,43,103
301,444,429,87,147
500,212,309,444,54
182,215,348,203,272
385,170,63,182,224
286,94,23,425,246
174,341,291,74,330
495,486,484,24,34
496,86,380,440,464
483,73,65,421,413
370,182,483,385,457
91,112,18,378,473
434,276,441,41,447
437,296,139,112,96
409,314,442,399,239
148,364,479,228,260
319,319,212,217,269
277,136,16,163,38
378,401,240,81,58
86,467,326,25,326
200,40,131,475,481
216,446,150,9,216
114,45,114,423,235
330,433,359,114,234
360,121,362,479,208
107,14,339,462,480
424,285,300,339,336
466,259,380,321,347
234,53,187,406,442
324,7,126,490,365
27,49,6,433,444
362,174,147,350,443
394,429,243,185,237
206,288,421,221,360
364,310,105,227,43
410,301,448,74,251
240,420,336,11,455
353,199,206,217,138
90,243,91,143,254
198,319,41,86,199
489,490,334,96,21
29,108,173,301,90
49,188,40,45,230
333,498,477,26,97
116,162,352,323,449
305,209,322,407,357
12,182,213,110,474
204,86,8,471,4
455,499,429,17,32
259,181,75,144,303
171,222,155,409,69
248,381,302,142,305
347,181,37,472,11
474,334,340,364,111
74,215,424,261,423
441,493,463,64,105
115,82,88,482,288
131,478,315,98,433
111,341,343,192,341
99,109,203,371,292
479,469,311,401,16
267,33,186,478,409
325,154,0,400,140
344,318,200,5,156
221,127,169,367,449
370,117,363,422,449
232,170,428,85,268
333,215,46,291,53
125,121,168,389,344
398,258,245,156,170
492,456,193,297,58
310,230,262,240,63
495,320,463,383,21
480,22,160,498,114
412,401,339,111,232
95,407,231,257,211
175,247,132,368,158
296,44,73,447,227
218,228,151,227,337
392,348,438,461,81
81,38,136,337,479
292,372,348,81,343
82,35,103,438,494
233,211,395,263,452
193,138,371,310,467
260,52,33,474,139
198,31,190,487,232
457,464,108,205,92
190,491,127,89,31
315,153,114,354,161
235,101,198,362,145
300,460,458,83,24
485,436,370,213,131
457,80,177,401,422
491,457,467,30,25
46,181,417,247,262
494,458,462,136,11
498,351,380,235,172
188,456,470,101,416
336,107,93,344,353
369,363,272,222,138
122,343,234,417,39
213,333,407,231,352
419,436,222,70,25
397,210,125,383,212
146,23,141,447,237
119,336,62,18,490
205,374,282,135,218
207,271,324,131,359
214,235,474,268,349
280,228,121,119,186
453,204,132,180,57
474,25,79,494,39
490,92,22,480,42
499,417,253,380,27
188,166,440,440,69
161,91,147,447,273
163,212,309,259,361
288,49,55,419,328
122,140,23,160,111
284,453,444,138,429
483,326,27,224,484
425,212,35,175,80
245,417,428,12,434
56,334,285,339,257
312,41,173,493,214
324,147,39,374,139
189,276,1,246,39
107,20,277,426,431
371,465,402,40,258
167,17,179,487,417
184,31,37,401,478
95,48,30,219,489
8,115,188,324,480
154,28,112,467,474
140,496,491,26,193
49,212,358,134,167
265,33,339,467,257
173,237,390,266,277
41,0,87,481,498
458,352,465,204,178
395,284,30,58,349
20,83,33,131,296
40,402,90,184,320
261,201,14,278,251
221,477,422,11,434
262,166,285,267,260
154,71,98,400,403
167,184,153,349,70
432,17,376,486,457
34,125,43,179,181
96,370,263,65,433
402,395,417,225,160
229,63,64,496,436
251,109,70,321,218
326,191,8,40,376
396,426,492,95,113
336,313,456,269,121
476,415,361,266,205
367,160,56,359,81
320,77,89,440,77
500,370,456,255,188
116,67,3,90,323
337,412,221,146,76
172,153,119,136,369
227,403,155,40,255
318,408,272,263,18
231,176,193,456,118
416,281,267,327,32
346,311,58,155,122
207,148,149,375,252
244,158,73,439,6
98,147,162,71,453
92,218,106,392,145
247,158,99,480,103
65,485,496,4,258
333,121,132,355,261
388,202,409,406,492
382,404,388,196,54
457,264,133,356,255
79,379,131,58,74
133,144,238,372,278
377,331,479,103,331
48,57,43,314,330
16,52,3,462,298
445,348,469,349,446
439,351,401,294,328
114,216,186,304,270
82,231,333,223,298
500,435,439,170,2
349,447,491,51,377
323,348,280,326,85
390,193,196,324,277
315,428,406,40,297
49,450,457,7,413
121,79,163,360,114
495,487,496,127,40
209,51,34,338,385
236,52,266,466,484
437,285,61,358,17
53,168,172,179,436
323,201,299,317,370
453,37,196,493,402
85,293,195,317,383
154,130,190,219,463
109,85,70,336,100
62,317,236,68,343
242,313,205,319,145
154,148,244,247,499
279,250,498,241,198
35,9,247,274,500
55,86,169,330,463
398,200,285,450,81
326,362,266,133,171
1,71,22,438,444
264,202,171,277,414
478,433,460,327,28
476,456,473,59,274
419,242,114,352,24
466,338,454,462,18
104,12,110,499,495
76,302,230,67,211
269,83,167,313,79
383,192,356,439,106
196,434,451,44,294
112,328,93,213,38
418,468,440,125,36
362,434,396,86,453
118,104,385,236,484
289,149,273,374,107
