v_norm,a_0,w_s_eff,t_0,alpha_gain
0.4476574,0.9874366,1.4010434,0.38449663,0.5348477
0.4904668,0.8965402,1.4810551,0.42587107,0.67138046
0.3743301,0.97289217,1.4905133,0.4122572,0.59800714
0.3834855,1.1373886,1.4719523,0.3289107,0.59669894
0.372807,0.88070124,1.4308041,0.38477698,0.68454516
0.3614809,0.8237741,1.3891568,0.42669168,0.544349
0.36320192,1.0276737,1.4585644,0.35154057,0.66090274
0.36767873,1.1374272,1.4624667,0.34426287,0.54333454
0.5698217,0.9961461,1.4443794,0.38574672,0.553062
0.5474794,0.8987036,1.4900167,0.4084352,0.5583426
0.45582867,1.0284529,1.4309795,0.36234394,0.6123187
0.4522117,0.9550841,1.4967476,0.40247676,0.5614674
0.4748709,1.1339935,1.4667397,0.3555607,0.59117204
0.48194367,1.0126355,1.4949181,0.37769678,0.5688562
0.42991418,0.9439456,1.4508061,0.39644817,0.6146793
0.46901706,0.97244126,1.4814891,0.3857464,0.57230973
0.4185243,0.9835189,1.4771409,0.41326538,0.59913605
0.53414315,1.0251527,1.4948986,0.3888139,0.5370659
0.44231072,1.1158682,1.4737934,0.36196265,0.6068932
0.5605673,0.94077367,1.3888882,0.3747662,0.6172597
0.4576455,0.8913421,1.4344407,0.39456436,0.6278306
0.5303877,0.90639114,1.4680823,0.4058166,0.6353409
0.42239502,1.1211923,1.4788324,0.373466,0.62885934
0.45451853,1.0033727,1.4918511,0.39075503,0.5378501
0.44826108,1.0017762,1.4511522,0.38693252,0.646651
0.43224797,1.0041238,1.3865349,0.3867787,0.57791144
0.44930288,0.98640466,1.460953,0.40563855,0.5640566
0.5333223,1.0797622,1.4921019,0.357787,0.55094767
0.4676955,0.94843954,1.4615266,0.400024,0.6036457
0.49539095,0.96104693,1.4761653,0.36831522,0.5859836
0.35803938,0.9629238,1.4303824,0.36571038,0.6308846
0.48735088,0.99210167,1.4634842,0.35974553,0.5757746
0.41778588,1.0013165,1.4962978,0.37922177,0.56949157
0.39478326,0.96967816,1.489846,0.3779089,0.6702988
0.4173167,1.0588796,1.4079999,0.36947036,0.5960264
0.39060074,0.91007495,1.4625155,0.38194478,0.6875873
0.3715154,0.90340334,1.322281,0.40183982,0.64071715
0.5201097,1.0467613,1.4938698,0.3688539,0.5740488
0.48867285,1.0391848,1.3999032,0.3782158,0.51375574
0.40635064,0.88123995,1.492662,0.40026844,0.6373075
0.34038237,0.95421726,1.4953327,0.38256654,0.6339966
0.4846629,0.97452575,1.4860264,0.36748123,0.65236366
0.519117,1.0388744,1.4836613,0.3639178,0.5870573
0.36923313,1.0106667,1.3681077,0.40120417,0.53364843
0.50678176,0.8891413,1.4842901,0.41803348,0.58903795
0.3823549,0.87532884,1.4497375,0.39473176,0.63885844
0.47062632,1.061665,1.4992508,0.37502083,0.5139638
0.42994556,0.81804156,1.4846867,0.41556543,0.73331374
0.46525475,1.0059766,1.4451005,0.37899444,0.5799519
0.48285922,0.94461757,1.4713804,0.3994613,0.61359394
0.5126293,0.99061275,1.4837211,0.36848435,0.6019773
0.37752467,0.9731369,1.4547656,0.3737141,0.5735268
0.48984915,1.1163794,1.4730828,0.35674158,0.5573419
0.36241442,1.0224491,1.4429579,0.37905434,0.61399406
0.4300685,0.993129,1.4861931,0.37732646,0.59562874
0.30716002,0.8892377,1.3361033,0.38087547,0.6935546
0.5105723,1.0288221,1.4823041,0.39130554,0.5655675
0.43642446,0.95388234,1.3902935,0.38118678,0.6013826
0.47011137,0.9372966,1.4930954,0.3824044,0.6031731
0.24278592,0.9512968,1.4688032,0.3744525,0.6828968
0.48564133,0.9230544,1.48654,0.40105417,0.6148252
0.38362256,0.9986343,1.3437743,0.37210235,0.60006636
0.45074552,0.91764313,1.4565202,0.3807942,0.5966057
0.30320123,0.9638746,1.43065,0.38616621,0.6053544
0.44914463,0.9303523,1.4541065,0.41008034,0.62385833
0.38906303,1.1003438,1.4662338,0.35356978,0.5993932
0.41206822,0.98127115,1.4972581,0.372166,0.62265056
0.36993328,1.0351534,1.4503956,0.3700269,0.60347074
0.3409666,0.9514279,1.4413158,0.3765726,0.66845936
0.4245609,0.96617395,1.4507633,0.39734244,0.6367047
0.50160044,1.0513897,1.3429723,0.38584226,0.5604065
0.40964586,1.0746999,1.4391226,0.36035433,0.61379915
0.44077495,0.9291992,1.4148535,0.40691814,0.689553
0.406632,0.9776134,1.4713404,0.36881715,0.6336715
0.513128,0.99095076,1.4131877,0.3637017,0.6163832
0.4928095,0.9434303,1.4919837,0.41628695,0.5343513
0.41549754,1.093213,1.4970981,0.364393,0.523108
0.48682776,1.0074801,1.4496565,0.41973868,0.5258125
0.5490774,0.90799356,1.413841,0.4476497,0.5181943
0.3440398,0.9997427,1.4469901,0.3808476,0.6076386
0.3970443,1.0388832,1.4882617,0.32796764,0.67864925
0.4657028,0.98999816,1.4752015,0.38487086,0.5701845
0.32453743,1.0102395,1.465296,0.3730062,0.6699271
0.4274955,1.0793698,1.4855726,0.35252494,0.5706464
0.51552767,1.1112819,1.4914138,0.35229734,0.6081236
0.40157586,0.74223524,1.3582679,0.43960136,0.700746
0.40276766,0.8834471,1.4433938,0.3966559,0.57354164
0.4421347,1.0099376,1.4230168,0.38949874,0.5759073
