subject_id,v_norm_mean,v_norm_median,v_norm_std,a_0_mean,a_0_median,a_0_std,w_s_eff_mean,w_s_eff_median,w_s_eff_std,t_0_mean,t_0_median,t_0_std,alpha_gain_mean,alpha_gain_median,alpha_gain_std,log_prob_mean,log_prob_median
114,0.578162,0.5789697,0.044163864,1.6135893,1.6181085,0.12906384,1.3560796,1.362461,0.08109361,0.42425805,0.42663884,0.036132213,0.65744895,0.65523213,0.052300148,7.7458477,8.051761
115,0.63630193,0.63523346,0.06371029,1.3871292,1.3896511,0.09384805,1.4529109,1.4636649,0.04031175,0.3457116,0.34558326,0.030891359,0.6874939,0.68725276,0.05787202,9.01941,9.327181
116,0.41987544,0.4190921,0.05220705,1.4475757,1.4456284,0.1091323,1.4482797,1.457174,0.04087374,0.47699633,0.47855234,0.03585003,0.78747,0.7869669,0.058192965,8.527076,8.842672
119,0.4911834,0.49301764,0.05117074,1.2648419,1.2651244,0.096352145,1.4272572,1.4383273,0.053628415,0.4217379,0.42323682,0.03242848,0.85135216,0.8480772,0.054775175,8.653972,8.9886465
122,0.29814836,0.30015326,0.058308985,0.87449807,0.8730203,0.07473929,1.454302,1.4656904,0.03885538,0.43035406,0.4310278,0.025090387,0.85042346,0.8524487,0.059813496,9.15961,9.526728
123,0.53821963,0.535607,0.056126676,1.4099638,1.4108793,0.10280435,1.4497863,1.4603126,0.041265555,0.2807015,0.281707,0.03384837,0.8119336,0.8116255,0.06413857,8.707865,8.98844
124,0.5175763,0.51651,0.060797554,1.2491452,1.2479875,0.08710049,1.4473557,1.4560783,0.041679196,0.4826355,0.4839847,0.027596649,0.77032125,0.7676425,0.060879517,8.979395,9.326228
126,0.6801596,0.6800468,0.077390045,1.0392439,1.0398822,0.072318286,1.4557916,1.4664905,0.0381529,0.45553496,0.45644668,0.022519972,0.7830268,0.7848532,0.06892142,9.339238,9.665617
128,0.36201936,0.36079717,0.045232974,1.5353305,1.5356601,0.119776905,1.4168823,1.4274089,0.05768502,0.42980292,0.4313358,0.04291343,0.82916164,0.82744175,0.057117313,7.9554434,8.293465
129,0.44916818,0.4513988,0.067630336,0.98484206,0.9834831,0.07642208,1.457823,1.4688528,0.037002202,0.3836284,0.3847426,0.024386471,0.60080105,0.5986438,0.04913662,9.426305,9.738832
131,0.46610656,0.46443197,0.048743397,1.5314904,1.532238,0.11234241,1.4374841,1.4494355,0.049781505,0.47521803,0.47523087,0.034105,0.7526145,0.7522896,0.059049513,8.4962,8.821861
132,0.613464,0.61217237,0.045990344,1.4581957,1.4589401,0.11037834,1.3248254,1.3334043,0.10614514,0.18370539,0.18431883,0.033226173,0.612737,0.6085194,0.04535968,7.7652655,8.116524
133,0.7305156,0.73042876,0.07781349,1.1538752,1.1531186,0.06693046,1.4311694,1.4436071,0.052918043,0.14294761,0.14277259,0.02608343,0.7136185,0.71129024,0.07895966,8.259416,8.64365
134,0.7280185,0.72811997,0.075026296,1.0392598,1.0382545,0.072996676,1.43343,1.4465374,0.05448792,0.27011237,0.2693479,0.022366172,0.6344574,0.6337589,0.05471357,8.950173,9.254198
135,0.3948511,0.39345583,0.041919958,1.5223901,1.5233378,0.14096096,0.47957715,0.47090003,0.14099008,0.3248341,0.32665586,0.054312628,0.8047157,0.803288,0.064700276,6.469199,6.8420563
136,0.8675863,0.86447203,0.07635972,0.701716,0.7020638,0.05934313,1.190784,1.2069614,0.17745131,0.5230756,0.5239223,0.017515263,0.59843546,0.5937448,0.052163802,7.9986496,8.348782
138,0.5489378,0.547595,0.044138867,1.764521,1.7624645,0.13958405,1.3978637,1.4067909,0.064567596,0.4449727,0.44615516,0.042687025,0.72255176,0.7199688,0.055560865,7.809764,8.073322
141,0.74108034,0.7420533,0.0719915,1.2029405,1.2013444,0.082584545,1.4536842,1.4633021,0.03893005,0.43613008,0.43758887,0.023627013,0.6065318,0.6017748,0.051633548,9.342746,9.630915
142,0.4462497,0.4471922,0.041997578,1.4363964,1.4359103,0.1172557,1.2899731,1.2957295,0.11597545,0.3013208,0.30192426,0.042248078,0.82037437,0.8222897,0.054766063,7.3114443,7.5902243
143,0.58741647,0.5872526,0.06027869,1.2875681,1.2920043,0.088509075,1.4399163,1.4510696,0.04866135,0.18557636,0.1864587,0.030600516,0.80665696,0.8069954,0.06120641,8.783023,9.079273
144,0.3975236,0.39516336,0.050249837,1.3401494,1.3350768,0.0958189,1.448367,1.45712,0.042524833,0.31628874,0.31693798,0.035495777,0.89946854,0.90157217,0.052760568,8.798934,9.112387
