rank_v_norm,rank_a_0,rank_w_s_eff,rank_t_0
309,253,231,179
194,80,177,381
203,173,145,338
163,189,446,311
165,216,417,319
20,46,66,92
314,491,487,33
394,500,490,399
39,276,241,93
183,20,2,468
217,412,434,296
336,176,422,307
386,416,208,46
305,399,274,150
124,86,8,432
131,312,495,174
123,451,446,6
270,46,23,215
25,83,65,202
118,216,171,381
298,346,496,360
112,495,245,0
495,438,146,148
360,180,120,366
434,276,498,380
325,1,2,498
251,41,19,362
247,429,391,120
367,499,400,41
129,51,92,156
193,34,104,461
270,408,232,397
378,371,485,11
269,49,8,478
500,306,279,137
264,458,496,85
25,143,52,442
408,280,166,378
87,439,133,21
37,457,214,84
304,45,347,468
372,469,6,24
231,494,410,84
100,277,292,332
418,252,284,436
223,259,2,18
2,60,9,204
285,182,122,288
485,381,45,17
204,27,18,437
35,0,14,496
223,33,127,338
493,308,360,278
436,136,259,475
375,92,282,447
441,484,320,394
181,25,10,484
265,488,384,21
168,162,127,202
486,131,440,488
2,295,324,176
391,279,313,371
281,454,416,89
409,196,91,73
171,375,405,67
420,410,492,223
175,24,236,468
16,498,408,64
466,159,297,279
434,185,395,450
85,173,343,256
27,26,264,329
95,413,11,124
312,498,274,0
424,482,422,135
428,66,303,449
438,499,473,18
127,304,176,269
480,90,54,406
247,481,462,12
398,246,300,181
131,158,119,12
290,474,15,45
184,246,90,160
369,243,375,173
385,222,211,224
419,284,358,303
434,84,366,374
439,491,240,0
213,6,3,187
295,53,180,490
350,474,305,31
270,341,408,183
470,273,500,293
116,337,399,243
273,306,231,314
179,469,490,61
258,423,451,24
398,457,374,189
390,326,418,229
112,178,147,421
106,257,68,270
436,16,339,490
354,328,370,484
67,120,393,311
50,129,34,120
40,43,431,431
396,494,489,19
329,195,337,318
68,113,283,456
207,483,475,43
33,489,29,8
198,479,475,106
4,424,233,0
234,289,198,152
242,432,483,169
295,274,171,288
246,392,451,224
42,130,50,116
278,172,95,411
128,436,500,498
254,364,215,86
205,46,27,267
104,5,161,499
218,497,292,1
420,422,238,204
78,187,122,343
325,243,141,141
86,306,225,82
200,186,93,393
169,130,218,312
383,114,312,283
162,397,97,41
369,500,257,64
165,272,184,15
263,438,316,42
317,199,27,242
194,240,268,50
414,116,381,467
426,356,295,20
457,497,60,157
295,467,499,146
30,251,44,216
182,193,478,372
187,27,137,456
409,491,473,84
50,335,65,34
50,292,292,246
115,5,3,360
495,357,89,175
214,468,186,116
291,12,460,500
68,7,19,294
283,266,408,191
254,374,340,81
182,76,101,303
424,117,357,454
327,499,192,3
452,444,471,278
100,499,301,0
211,216,284,344
401,54,69,377
446,172,24,320
148,453,479,211
395,220,493,406
33,173,317,155
48,163,142,161
459,339,454,339
413,343,491,53
176,330,321,49
5,485,482,18
435,259,117,195
399,309,205,12
17,309,2,60
261,39,185,443
1,454,141,20
415,456,423,64
486,171,10,287
439,236,477,448
476,98,354,242
67,128,2,58
464,232,452,411
47,207,89,79
396,498,493,50
150,91,375,377
100,181,344,375
216,371,261,27
257,446,73,27
16,384,130,128
125,479,495,471
334,496,142,34
40,281,293,421
105,484,457,82
38,234,399,425
482,392,499,448
178,164,377,119
486,485,466,187
473,446,493,203
142,487,462,8
89,336,143,49
215,237,368,277
9,382,115,73
263,109,57,252
284,406,333,49
483,86,162,397
169,92,56,120
399,37,193,327
208,456,421,172
330,1,3,493
80,122,168,318
56,442,358,32
229,398,90,102
429,59,5,339
45,277,212,30
399,453,364,185
198,54,208,376
140,465,433,68
367,421,313,428
71,171,420,303
158,94,240,426
391,416,269,29
497,164,275,432
396,405,4,415
478,442,173,93
329,462,480,32
97,303,231,268
404,457,417,53
15,68,129,341
261,179,289,272
175,466,286,17
492,467,217,19
415,439,410,190
136,257,382,366
102,449,136,31
289,184,287,207
55,259,55,52
214,494,194,491
28,187,249,374
202,498,425,3
269,158,100,83
447,141,121,364
449,460,469,73
204,390,301,283
180,4,25,465
31,416,67,19
474,477,496,30
326,498,493,2
494,250,370,311
231,141,76,139
443,339,469,44
418,417,464,166
273,359,409,158
390,332,458,271
259,283,430,293
378,41,335,434
289,334,382,351
430,93,29,496
14,376,336,44
194,92,31,164
279,383,220,201
268,4,9,493
85,64,6,224
473,310,153,184
207,229,311,202
66,406,86,51
29,236,137,216
287,466,465,45
210,108,305,314
144,480,387,2
320,19,68,464
71,390,265,420
208,276,498,329
175,168,117,55
489,358,269,120
238,183,357,265
8,250,271,216
214,232,34,49
268,272,448,247
334,477,435,13
138,85,177,476
125,101,353,266
371,207,197,434
413,469,272,494
209,270,297,107
181,392,301,126
224,64,321,487
16,133,1,143
93,499,486,8
212,372,456,151
477,81,392,350
111,269,358,180
200,51,288,437
24,146,4,471
267,327,343,199
290,494,493,49
222,39,48,487
477,102,162,405
322,92,41,384
367,126,111,427
327,244,172,391
