rank_v_norm,rank_a_0,rank_w_s_eff,rank_t_0
41.0,140.0,22.0,147.0
105.0,55.0,497.0,404.0
241.0,85.0,164.0,338.0
412.0,372.0,478.0,246.0
458.0,442.0,272.0,439.0
37.0,176.0,70.0,135.0
489.0,405.0,313.0,65.0
497.0,168.0,168.0,264.0
300.0,316.0,332.0,30.0
157.0,492.0,494.0,153.0
73.0,277.0,39.0,242.0
261.0,2.0,109.0,491.0
400.0,207.0,133.0,338.0
35.0,0.0,26.0,465.0
394.0,459.0,364.0,19.0
442.0,334.0,498.0,106.0
46.0,4.0,3.0,495.0
88.0,16.0,464.0,451.0
269.0,156.0,383.0,276.0
187.0,62.0,42.0,344.0
499.0,265.0,451.0,349.0
47.0,94.0,122.0,2.0
143.0,115.0,129.0,189.0
478.0,370.0,373.0,358.0
112.0,251.0,335.0,234.0
106.0,38.0,132.0,339.0
52.0,35.0,54.0,461.0
309.0,476.0,440.0,12.0
483.0,265.0,99.0,351.0
252.0,393.0,192.0,33.0
328.0,294.0,39.0,240.0
353.0,271.0,213.0,395.0
61.0,260.0,47.0,93.0
404.0,487.0,473.0,148.0
306.0,242.0,76.0,263.0
293.0,281.0,40.0,54.0
491.0,431.0,405.0,68.0
206.0,332.0,474.0,57.0
181.0,73.0,171.0,444.0
489.0,319.0,487.0,224.0
460.0,487.0,459.0,21.0
20.0,21.0,453.0,333.0
482.0,198.0,215.0,190.0
247.0,266.0,273.0,395.0
246.0,447.0,47.0,71.0
381.0,241.0,341.0,282.0
383.0,169.0,139.0,47.0
388.0,222.0,424.0,260.0
411.0,157.0,438.0,407.0
395.0,500.0,392.0,0.0
499.0,59.0,203.0,460.0
132.0,185.0,100.0,298.0
94.0,35.0,11.0,427.0
309.0,238.0,368.0,386.0
479.0,434.0,495.0,480.0
198.0,336.0,409.0,35.0
260.0,330.0,381.0,173.0
275.0,132.0,20.0,263.0
388.0,295.0,28.0,128.0
204.0,371.0,498.0,166.0
442.0,429.0,433.0,434.0
458.0,471.0,499.0,116.0
44.0,117.0,268.0,423.0
493.0,108.0,179.0,488.0
106.0,153.0,33.0,313.0
307.0,278.0,205.0,130.0
300.0,1.0,55.0,478.0
21.0,33.0,64.0,182.0
254.0,404.0,449.0,399.0
233.0,164.0,209.0,181.0
88.0,176.0,17.0,234.0
61.0,137.0,388.0,386.0
48.0,189.0,420.0,264.0
301.0,446.0,484.0,103.0
457.0,428.0,453.0,306.0
72.0,32.0,18.0,457.0
229.0,378.0,214.0,106.0
452.0,431.0,491.0,33.0
122.0,98.0,449.0,189.0
80.0,66.0,218.0,413.0
146.0,500.0,294.0,1.0
455.0,491.0,390.0,38.0
196.0,377.0,406.0,94.0
485.0,255.0,161.0,346.0
229.0,423.0,413.0,30.0
47.0,84.0,70.0,79.0
386.0,358.0,276.0,188.0
8.0,145.0,321.0,351.0
425.0,76.0,123.0,398.0
8.0,199.0,67.0,428.0
497.0,82.0,71.0,401.0
78.0,322.0,353.0,245.0
217.0,72.0,45.0,214.0
461.0,113.0,371.0,329.0
58.0,497.0,466.0,30.0
478.0,123.0,485.0,233.0
47.0,78.0,39.0,433.0
448.0,378.0,456.0,203.0
250.0,399.0,206.0,210.0
191.0,497.0,463.0,1.0
489.0,3.0,24.0,257.0
13.0,171.0,454.0,385.0
279.0,286.0,160.0,95.0
490.0,280.0,144.0,109.0
188.0,8.0,150.0,478.0
286.0,77.0,74.0,493.0
199.0,227.0,490.0,347.0
195.0,174.0,57.0,161.0
482.0,188.0,159.0,318.0
375.0,0.0,51.0,474.0
299.0,235.0,342.0,412.0
462.0,417.0,88.0,77.0
133.0,412.0,271.0,227.0
404.0,359.0,414.0,356.0
353.0,72.0,31.0,397.0
493.0,399.0,346.0,169.0
358.0,183.0,233.0,136.0
469.0,63.0,199.0,440.0
270.0,86.0,120.0,463.0
101.0,53.0,279.0,274.0
59.0,166.0,26.0,241.0
11.0,193.0,226.0,250.0
379.0,194.0,221.0,150.0
290.0,284.0,471.0,356.0
427.0,463.0,464.0,54.0
339.0,70.0,234.0,346.0
394.0,247.0,346.0,347.0
251.0,275.0,294.0,246.0
460.0,152.0,436.0,345.0
419.0,318.0,323.0,287.0
210.0,176.0,271.0,137.0
309.0,292.0,69.0,112.0
429.0,497.0,483.0,61.0
203.0,117.0,373.0,429.0
235.0,460.0,35.0,111.0
357.0,14.0,294.0,486.0
164.0,259.0,17.0,54.0
311.0,47.0,127.0,451.0
366.0,215.0,425.0,331.0
298.0,129.0,481.0,406.0
445.0,395.0,134.0,12.0
352.0,104.0,120.0,463.0
497.0,385.0,365.0,243.0
25.0,303.0,412.0,170.0
291.0,495.0,224.0,136.0
305.0,102.0,92.0,354.0
382.0,259.0,387.0,467.0
82.0,276.0,232.0,272.0
377.0,305.0,400.0,342.0
391.0,421.0,355.0,100.0
478.0,243.0,290.0,273.0
404.0,436.0,499.0,229.0
202.0,89.0,163.0,488.0
84.0,492.0,405.0,6.0
172.0,187.0,395.0,262.0
496.0,256.0,474.0,246.0
238.0,230.0,400.0,223.0
443.0,299.0,236.0,193.0
365.0,393.0,185.0,208.0
230.0,221.0,207.0,358.0
170.0,113.0,246.0,491.0
325.0,457.0,349.0,107.0
26.0,342.0,359.0,0.0
463.0,394.0,403.0,165.0
347.0,63.0,308.0,498.0
51.0,340.0,435.0,279.0
413.0,3.0,227.0,489.0
363.0,6.0,24.0,480.0
482.0,91.0,119.0,280.0
409.0,36.0,155.0,393.0
454.0,396.0,213.0,83.0
374.0,457.0,442.0,267.0
415.0,399.0,316.0,32.0
91.0,290.0,364.0,223.0
25.0,54.0,181.0,450.0
414.0,399.0,486.0,78.0
80.0,357.0,218.0,90.0
164.0,155.0,73.0,289.0
495.0,162.0,381.0,326.0
389.0,466.0,389.0,39.0
67.0,456.0,455.0,70.0
147.0,269.0,345.0,202.0
435.0,112.0,273.0,243.0
146.0,239.0,45.0,332.0
21.0,230.0,136.0,154.0
419.0,469.0,86.0,2.0
98.0,150.0,401.0,405.0
405.0,188.0,402.0,433.0
268.0,477.0,261.0,31.0
40.0,36.0,87.0,329.0
362.0,498.0,252.0,64.0
408.0,152.0,345.0,63.0
498.0,114.0,477.0,472.0
254.0,342.0,238.0,160.0
170.0,461.0,463.0,34.0
430.0,320.0,338.0,370.0
198.0,407.0,195.0,149.0
0.0,17.0,4.0,333.0
331.0,217.0,500.0,363.0
25.0,217.0,241.0,84.0
437.0,188.0,106.0,424.0
281.0,402.0,154.0,94.0
237.0,285.0,275.0,173.0
372.0,473.0,500.0,97.0
328.0,226.0,374.0,278.0
120.0,91.0,476.0,467.0
321.0,144.0,127.0,209.0
74.0,139.0,52.0,95.0
421.0,443.0,409.0,112.0
204.0,307.0,411.0,85.0
245.0,47.0,72.0,311.0
83.0,148.0,5.0,159.0
377.0,384.0,496.0,106.0
133.0,71.0,1.0,404.0
82.0,40.0,240.0,235.0
492.0,169.0,354.0,459.0
422.0,469.0,471.0,44.0
496.0,381.0,407.0,219.0
499.0,456.0,373.0,71.0
435.0,3.0,145.0,498.0
385.0,413.0,474.0,109.0
495.0,335.0,32.0,60.0
25.0,321.0,312.0,101.0
487.0,166.0,5.0,278.0
426.0,27.0,44.0,338.0
489.0,263.0,108.0,117.0
149.0,182.0,11.0,483.0
417.0,417.0,203.0,87.0
401.0,375.0,406.0,195.0
244.0,97.0,43.0,366.0
124.0,338.0,461.0,262.0
342.0,246.0,446.0,270.0
365.0,385.0,152.0,41.0
362.0,51.0,282.0,499.0
351.0,475.0,193.0,28.0
414.0,470.0,157.0,377.0
243.0,305.0,127.0,296.0
153.0,378.0,199.0,102.0
217.0,261.0,339.0,110.0
191.0,397.0,317.0,446.0
117.0,110.0,85.0,316.0
286.0,209.0,85.0,343.0
14.0,30.0,38.0,446.0
404.0,187.0,216.0,326.0
232.0,127.0,303.0,156.0
137.0,38.0,316.0,470.0
255.0,496.0,471.0,21.0
177.0,289.0,113.0,44.0
329.0,494.0,399.0,99.0
479.0,204.0,304.0,183.0
363.0,157.0,203.0,352.0
456.0,194.0,73.0,439.0
351.0,195.0,317.0,260.0
387.0,491.0,498.0,32.0
433.0,478.0,466.0,88.0
86.0,137.0,249.0,152.0
45.0,118.0,48.0,346.0
101.0,151.0,139.0,432.0
62.0,92.0,66.0,308.0
489.0,63.0,433.0,468.0
73.0,245.0,160.0,93.0
178.0,326.0,307.0,134.0
120.0,259.0,287.0,308.0
441.0,147.0,182.0,401.0
432.0,401.0,152.0,93.0
224.0,260.0,146.0,265.0
311.0,269.0,405.0,209.0
335.0,410.0,406.0,29.0
189.0,250.0,317.0,321.0
198.0,7.0,116.0,493.0
83.0,192.0,136.0,93.0
485.0,35.0,76.0,479.0
497.0,454.0,480.0,52.0
186.0,148.0,28.0,325.0
149.0,184.0,409.0,63.0
130.0,219.0,125.0,253.0
213.0,181.0,306.0,130.0
429.0,325.0,110.0,179.0
425.0,238.0,436.0,384.0
418.0,482.0,437.0,3.0
285.0,241.0,497.0,331.0
26.0,227.0,426.0,97.0
277.0,301.0,376.0,66.0
224.0,122.0,322.0,147.0
389.0,338.0,290.0,352.0
422.0,404.0,370.0,138.0
390.0,259.0,308.0,308.0
149.0,402.0,122.0,109.0
492.0,230.0,384.0,404.0
204.0,390.0,227.0,213.0
88.0,333.0,238.0,183.0
489.0,248.0,247.0,105.0
462.0,43.0,242.0,426.0
414.0,456.0,456.0,5.0
50.0,73.0,301.0,334.0
1.0,2.0,12.0,496.0
251.0,299.0,176.0,90.0
236.0,369.0,15.0,158.0
469.0,411.0,463.0,200.0
280.0,96.0,59.0,160.0
