rank_v_norm,rank_a_0,rank_w_s_eff,rank_t_0
237.0,492.0,365.0,11.0
489.0,271.0,239.0,349.0
313.0,165.0,105.0,295.0
112.0,23.0,42.0,390.0
115.0,169.0,244.0,285.0
489.0,493.0,104.0,33.0
274.0,239.0,163.0,393.0
487.0,375.0,461.0,367.0
410.0,489.0,493.0,90.0
355.0,286.0,239.0,289.0
111.0,368.0,479.0,105.0
190.0,283.0,331.0,454.0
388.0,150.0,83.0,358.0
145.0,11.0,15.0,497.0
90.0,71.0,3.0,498.0
440.0,287.0,302.0,162.0
487.0,254.0,496.0,417.0
194.0,47.0,253.0,419.0
287.0,380.0,426.0,290.0
466.0,500.0,431.0,8.0
425.0,444.0,413.0,209.0
476.0,256.0,275.0,333.0
52.0,374.0,338.0,181.0
35.0,340.0,439.0,314.0
183.0,355.0,290.0,201.0
1.0,13.0,51.0,461.0
339.0,473.0,312.0,118.0
50.0,43.0,16.0,346.0
159.0,155.0,117.0,325.0
367.0,5.0,53.0,483.0
264.0,197.0,71.0,310.0
470.0,315.0,485.0,315.0
369.0,375.0,296.0,48.0
461.0,397.0,447.0,275.0
477.0,195.0,104.0,288.0
482.0,317.0,271.0,228.0
473.0,294.0,500.0,485.0
414.0,182.0,31.0,404.0
309.0,494.0,381.0,0.0
390.0,10.0,6.0,494.0
267.0,132.0,314.0,333.0
371.0,205.0,370.0,376.0
255.0,302.0,491.0,400.0
408.0,323.0,220.0,382.0
410.0,111.0,387.0,369.0
70.0,99.0,238.0,415.0
369.0,437.0,299.0,136.0
381.0,253.0,445.0,258.0
76.0,302.0,107.0,125.0
493.0,222.0,92.0,424.0
195.0,468.0,42.0,4.0
408.0,424.0,301.0,63.0
424.0,228.0,219.0,270.0
471.0,158.0,133.0,404.0
399.0,454.0,433.0,8.0
48.0,93.0,81.0,365.0
235.0,283.0,260.0,239.0
246.0,148.0,409.0,284.0
317.0,265.0,406.0,303.0
94.0,415.0,147.0,202.0
490.0,108.0,78.0,393.0
475.0,386.0,343.0,107.0
209.0,389.0,186.0,90.0
379.0,118.0,157.0,288.0
246.0,305.0,142.0,23.0
81.0,135.0,90.0,383.0
493.0,480.0,500.0,119.0
114.0,290.0,326.0,223.0
327.0,116.0,238.0,429.0
65.0,237.0,445.0,472.0
61.0,88.0,101.0,465.0
19.0,16.0,52.0,279.0
164.0,73.0,71.0,419.0
353.0,106.0,104.0,411.0
2.0,254.0,336.0,116.0
141.0,218.0,240.0,363.0
105.0,288.0,148.0,58.0
167.0,38.0,126.0,500.0
110.0,268.0,70.0,349.0
284.0,253.0,311.0,173.0
88.0,286.0,199.0,145.0
249.0,73.0,63.0,361.0
398.0,52.0,98.0,481.0
385.0,127.0,3.0,398.0
255.0,117.0,29.0,182.0
459.0,318.0,333.0,263.0
185.0,430.0,384.0,175.0
203.0,6.0,37.0,463.0
114.0,44.0,160.0,413.0
373.0,491.0,465.0,64.0
80.0,391.0,158.0,4.0
88.0,164.0,68.0,198.0
259.0,120.0,240.0,134.0
86.0,404.0,233.0,0.0
11.0,193.0,145.0,206.0
267.0,140.0,84.0,241.0
161.0,243.0,175.0,332.0
316.0,339.0,178.0,126.0
400.0,133.0,129.0,161.0
388.0,472.0,433.0,14.0
495.0,308.0,464.0,336.0
439.0,434.0,328.0,61.0
258.0,246.0,86.0,218.0
401.0,485.0,454.0,26.0
108.0,64.0,1.0,184.0
56.0,440.0,310.0,337.0
80.0,263.0,121.0,119.0
48.0,13.0,73.0,269.0
184.0,233.0,178.0,203.0
316.0,24.0,51.0,477.0
350.0,210.0,192.0,261.0
19.0,12.0,13.0,490.0
46.0,59.0,37.0,416.0
285.0,313.0,200.0,18.0
85.0,49.0,146.0,466.0
193.0,65.0,26.0,461.0
427.0,417.0,410.0,57.0
239.0,306.0,177.0,321.0
201.0,281.0,425.0,456.0
82.0,22.0,292.0,497.0
386.0,261.0,407.0,160.0
135.0,46.0,65.0,458.0
415.0,215.0,176.0,305.0
273.0,41.0,9.0,466.0
351.0,410.0,489.0,326.0
282.0,256.0,295.0,465.0
2.0,437.0,371.0,36.0
279.0,467.0,416.0,77.0
138.0,141.0,77.0,238.0
124.0,283.0,47.0,272.0
32.0,244.0,171.0,79.0
73.0,434.0,489.0,111.0
418.0,71.0,194.0,470.0
213.0,163.0,87.0,121.0
209.0,158.0,348.0,289.0
191.0,75.0,59.0,496.0
225.0,500.0,500.0,3.0
14.0,21.0,19.0,258.0
133.0,147.0,62.0,162.0
242.0,29.0,271.0,486.0
138.0,159.0,398.0,289.0
435.0,370.0,474.0,349.0
240.0,103.0,235.0,423.0
377.0,301.0,129.0,253.0
288.0,279.0,180.0,257.0
178.0,117.0,0.0,218.0
438.0,400.0,403.0,203.0
17.0,185.0,168.0,103.0
396.0,411.0,150.0,185.0
299.0,500.0,125.0,27.0
416.0,146.0,353.0,306.0
159.0,39.0,146.0,339.0
497.0,491.0,494.0,315.0
496.0,461.0,498.0,177.0
459.0,304.0,116.0,68.0
334.0,77.0,181.0,487.0
209.0,218.0,239.0,256.0
26.0,190.0,128.0,381.0
427.0,88.0,64.0,298.0
213.0,316.0,80.0,230.0
272.0,104.0,9.0,366.0
231.0,282.0,307.0,225.0
417.0,276.0,452.0,468.0
422.0,458.0,431.0,27.0
80.0,184.0,58.0,150.0
252.0,62.0,247.0,287.0
115.0,310.0,296.0,107.0
217.0,361.0,297.0,49.0
327.0,38.0,108.0,473.0
275.0,431.0,241.0,8.0
67.0,137.0,74.0,417.0
480.0,481.0,482.0,39.0
466.0,92.0,112.0,421.0
136.0,393.0,178.0,114.0
9.0,493.0,427.0,12.0
498.0,59.0,11.0,453.0
207.0,76.0,245.0,206.0
459.0,452.0,490.0,96.0
421.0,119.0,25.0,320.0
191.0,2.0,72.0,486.0
73.0,500.0,459.0,0.0
42.0,296.0,81.0,104.0
91.0,287.0,114.0,76.0
406.0,313.0,377.0,325.0
388.0,182.0,126.0,356.0
26.0,350.0,222.0,43.0
471.0,115.0,233.0,441.0
85.0,18.0,128.0,455.0
295.0,411.0,453.0,56.0
256.0,384.0,215.0,94.0
198.0,163.0,41.0,85.0
353.0,490.0,349.0,22.0
474.0,199.0,252.0,257.0
417.0,288.0,490.0,203.0
77.0,295.0,77.0,186.0
220.0,338.0,365.0,199.0
357.0,315.0,352.0,245.0
237.0,43.0,10.0,384.0
76.0,29.0,134.0,474.0
86.0,416.0,450.0,166.0
193.0,148.0,212.0,415.0
51.0,239.0,295.0,242.0
51.0,472.0,229.0,58.0
446.0,458.0,264.0,54.0
59.0,98.0,342.0,390.0
374.0,77.0,314.0,457.0
149.0,228.0,300.0,217.0
25.0,129.0,110.0,381.0
117.0,136.0,122.0,418.0
275.0,481.0,427.0,22.0
417.0,134.0,97.0,428.0
293.0,490.0,331.0,56.0
194.0,433.0,293.0,43.0
178.0,77.0,346.0,394.0
219.0,307.0,137.0,111.0
20.0,316.0,344.0,109.0
449.0,425.0,386.0,95.0
351.0,189.0,216.0,446.0
431.0,473.0,494.0,63.0
438.0,186.0,353.0,228.0
97.0,473.0,480.0,21.0
135.0,207.0,311.0,415.0
67.0,414.0,413.0,129.0
52.0,422.0,327.0,3.0
204.0,124.0,14.0,369.0
395.0,32.0,221.0,446.0
492.0,410.0,496.0,243.0
205.0,72.0,236.0,461.0
486.0,381.0,154.0,134.0
165.0,242.0,393.0,481.0
