subject_id,mean_v_norm,median_v_norm,std_v_norm,mean_a_0,median_a_0,std_a_0,mean_w_s_eff,median_w_s_eff,std_w_s_eff,mean_t_0,median_t_0,std_t_0,error,posterior_samples_shape,framing_effect_ntc_obs,framing_effect_tc_obs,framing_effect_avg_obs
114,0.5617,0.5606,0.0656,0.6593,0.6570,0.0606,0.3580,0.3322,0.1215,0.5847,0.5843,0.0174,,"(1000, 4)",0.0278,0.3705,0.1991
115,0.5621,0.5598,0.0680,0.6612,0.6634,0.0662,0.3585,0.3387,0.1180,0.5843,0.5848,0.0183,,"(1000, 4)",0.0556,0.3043,0.1800
116,0.5605,0.5647,0.0666,0.6636,0.6639,0.0645,0.3600,0.3293,0.1219,0.5840,0.5847,0.0173,,"(1000, 4)",-0.0417,0.0255,-0.0081
119,0.5644,0.5623,0.0694,0.6586,0.6577,0.0646,0.3617,0.3360,0.1224,0.5860,0.5858,0.0178,,"(1000, 4)",-0.0741,0.3093,0.1176
122,0.5614,0.5616,0.0692,0.6607,0.6607,0.0614,0.3593,0.3321,0.1189,0.5848,0.5838,0.0177,,"(1000, 4)",-0.0833,0.1268,0.0217
123,0.5588,0.5595,0.0685,0.6593,0.6597,0.0654,0.3527,0.3279,0.1160,0.5850,0.5841,0.0178,,"(1000, 4)",0.1528,0.2797,0.2162
124,0.5618,0.5621,0.0688,0.6607,0.6596,0.0642,0.3542,0.3302,0.1187,0.5839,0.5838,0.0178,,"(1000, 4)",0.1389,0.2590,0.1990
126,0.5612,0.5612,0.0689,0.6626,0.6630,0.0658,0.3652,0.3396,0.1197,0.5850,0.5847,0.0178,,"(1000, 4)",0.2500,0.4489,0.3494
128,0.5576,0.5554,0.0679,0.6655,0.6623,0.0623,0.3502,0.3204,0.1191,0.5841,0.5838,0.0180,,"(1000, 4)",0.0556,-0.0476,0.0040
129,0.5595,0.5587,0.0675,0.6628,0.6640,0.0628,0.3553,0.3296,0.1179,0.5842,0.5836,0.0172,,"(1000, 4)",0.0417,0.1268,0.0842
131,0.5616,0.5628,0.0659,0.6593,0.6572,0.0614,0.3579,0.3265,0.1222,0.5852,0.5846,0.0176,,"(1000, 4)",0.0833,0.0871,0.0852
132,0.5597,0.5592,0.0700,0.6608,0.6600,0.0651,0.3530,0.3315,0.1128,0.5847,0.5844,0.0180,,"(1000, 4)",0.3472,0.3611,0.3542
133,0.5611,0.5602,0.0669,0.6599,0.6605,0.0628,0.3590,0.3304,0.1154,0.5847,0.5849,0.0177,,"(1000, 4)",0.2361,0.5663,0.4012
134,0.5601,0.5581,0.0676,0.6597,0.6590,0.0651,0.3502,0.3242,0.1179,0.5854,0.5850,0.0181,,"(1000, 4)",0.1806,0.4920,0.3363
135,0.5596,0.5611,0.0653,0.6584,0.6570,0.0660,0.3567,0.3357,0.1180,0.5849,0.5843,0.0179,,"(1000, 4)",0.1389,0.4036,0.2712
