subject_id,mean_v_norm,median_v_norm,std_v_norm,mean_a_0,median_a_0,std_a_0,mean_w_s_eff,median_w_s_eff,std_w_s_eff,mean_t_0,median_t_0,std_t_0,error,posterior_samples_shape,framing_effect_ntc_obs,framing_effect_tc_obs,framing_effect_avg_obs
114,1.0244,1.0044,0.5610,1.4793,1.4788,0.5715,0.8559,0.8345,0.3772,0.3726,0.3661,0.1879,,"(1000, 4)",0.0278,0.3705,0.1991
115,1.0531,1.0506,0.5593,1.4903,1.4819,0.5728,0.8112,0.7929,0.3752,0.3636,0.3658,0.1863,,"(1000, 4)",0.0556,0.3043,0.1800
116,1.0502,1.0689,0.5506,1.4587,1.4374,0.5728,0.8566,0.8599,0.3782,0.3778,0.3814,0.1875,,"(1000, 4)",-0.0417,0.0255,-0.0081
119,1.0486,1.0654,0.5578,1.4978,1.4897,0.5771,0.8473,0.8562,0.3830,0.3724,0.3716,0.1882,,"(1000, 4)",-0.0741,0.3093,0.1176
122,1.0957,1.1262,0.5487,1.4878,1.4718,0.5779,0.8448,0.8122,0.3695,0.3847,0.3923,0.1864,,"(1000, 4)",-0.0833,0.1268,0.0217
123,1.0608,1.0807,0.5494,1.4648,1.4216,0.5712,0.8380,0.8391,0.3756,0.3830,0.3891,0.1894,,"(1000, 4)",0.1528,0.2797,0.2162
124,1.0158,0.9890,0.5514,1.4618,1.4419,0.5770,0.8368,0.8302,0.3832,0.3655,0.3600,0.1868,,"(1000, 4)",0.1389,0.2590,0.1990
126,1.0439,1.0263,0.5376,1.4808,1.4611,0.5830,0.8520,0.8593,0.3730,0.3695,0.3687,0.1866,,"(1000, 4)",0.2500,0.4489,0.3494
128,1.0676,1.0703,0.5502,1.4704,1.4747,0.5808,0.8455,0.8584,0.3710,0.3679,0.3662,0.1892,,"(1000, 4)",0.0556,-0.0476,0.0040
129,1.0124,1.0072,0.5446,1.4947,1.5029,0.5751,0.8415,0.8280,0.3721,0.3739,0.3757,0.1879,,"(1000, 4)",0.0417,0.1268,0.0842
131,1.0486,1.0284,0.5498,1.5028,1.5138,0.5620,0.8469,0.8576,0.3741,0.3774,0.3757,0.1910,,"(1000, 4)",0.0833,0.0871,0.0852
