stat_key,n_subjects,n_covered_90,pct_covered_90,n_covered_95,pct_covered_95
prop_gamble_overall,45,30,66.66666666666667,30,66.66666666666667
mean_rt_overall,45,14,31.11111111111111,16,35.55555555555556
rt_q10_overall,45,17,37.77777777777778,30,66.66666666666667
rt_q50_overall,45,3,6.666666666666667,8,17.77777777777778
rt_q90_overall,45,10,22.22222222222222,19,42.22222222222222
rt_std_overall,45,7,15.555555555555555,12,26.666666666666668
prop_gamble_Gain_NTC,45,41,91.11111111111111,43,95.55555555555556
mean_rt_Gain_NTC,45,3,6.666666666666667,8,17.77777777777778
rt_std_Gain_NTC,45,42,93.33333333333333,42,93.33333333333333
rt_q10_Gain_NTC,45,37,82.22222222222223,40,88.88888888888889
rt_q50_Gain_NTC,45,17,37.77777777777778,25,55.55555555555556
rt_q90_Gain_NTC,45,0,0.0,0,0.0
rt_hist_bin0_Gain_NTC,45,45,100.0,45,100.0
rt_hist_bin1_Gain_NTC,45,43,95.55555555555556,43,95.55555555555556
rt_hist_bin2_Gain_NTC,45,38,84.44444444444444,40,88.88888888888889
rt_hist_bin3_Gain_NTC,45,35,77.77777777777777,37,82.22222222222223
rt_hist_bin4_Gain_NTC,45,36,80.0,38,84.44444444444444
prop_gamble_Gain_TC,45,45,100.0,45,100.0
mean_rt_Gain_TC,45,0,0.0,0,0.0
rt_std_Gain_TC,45,31,68.88888888888889,42,93.33333333333333
rt_q10_Gain_TC,45,1,2.2222222222222223,3,6.666666666666667
rt_q50_Gain_TC,45,0,0.0,0,0.0
rt_q90_Gain_TC,45,0,0.0,0,0.0
rt_hist_bin0_Gain_TC,45,43,95.55555555555556,43,95.55555555555556
rt_hist_bin1_Gain_TC,45,14,31.11111111111111,17,37.77777777777778
rt_hist_bin2_Gain_TC,45,0,0.0,1,2.2222222222222223
rt_hist_bin3_Gain_TC,45,3,6.666666666666667,3,6.666666666666667
rt_hist_bin4_Gain_TC,45,0,0.0,0,0.0
prop_gamble_Loss_NTC,45,1,2.2222222222222223,2,4.444444444444445
mean_rt_Loss_NTC,45,36,80.0,38,84.44444444444444
rt_std_Loss_NTC,45,34,75.55555555555556,38,84.44444444444444
rt_q10_Loss_NTC,45,35,77.77777777777777,35,77.77777777777777
rt_q50_Loss_NTC,45,34,75.55555555555556,40,88.88888888888889
rt_q90_Loss_NTC,45,36,80.0,42,93.33333333333333
rt_hist_bin0_Loss_NTC,45,45,100.0,45,100.0
rt_hist_bin1_Loss_NTC,45,45,100.0,45,100.0
rt_hist_bin2_Loss_NTC,45,45,100.0,45,100.0
rt_hist_bin3_Loss_NTC,45,45,100.0,45,100.0
rt_hist_bin4_Loss_NTC,45,45,100.0,45,100.0
prop_gamble_Loss_TC,45,0,0.0,1,2.2222222222222223
mean_rt_Loss_TC,45,2,4.444444444444445,12,26.666666666666668
rt_std_Loss_TC,45,44,97.77777777777777,45,100.0
rt_q10_Loss_TC,45,18,40.0,28,62.22222222222222
rt_q50_Loss_TC,45,6,13.333333333333334,15,33.333333333333336
rt_q90_Loss_TC,45,0,0.0,0,0.0
rt_hist_bin0_Loss_TC,45,44,97.77777777777777,44,97.77777777777777
rt_hist_bin1_Loss_TC,45,17,37.77777777777778,26,57.77777777777778
rt_hist_bin2_Loss_TC,45,11,24.444444444444443,16,35.55555555555556
rt_hist_bin3_Loss_TC,45,14,31.11111111111111,24,53.333333333333336
rt_hist_bin4_Loss_TC,45,0,0.0,3,6.666666666666667
framing_effect_ntc,45,12,26.666666666666668,17,37.77777777777778
framing_effect_tc,45,31,68.88888888888889,36,80.0
rt_framing_bias_ntc,45,0,0.0,0,0.0
rt_framing_bias_tc,45,11,24.444444444444443,12,26.666666666666668
