w_n_eff_rank,a_rank,t_rank,sbc_iteration
751,316,398,1
752,574,581,2
938,346,277,3
829,584,789,4
650,530,769,5
490,428,391,6
963,522,844,7
998,54,908,8
472,801,168,9
222,202,153,10
753,709,10,11
322,999,4,12
490,519,554,13
656,495,443,14
448,390,296,15
342,412,3,16
1000,6,1000,17
93,199,758,18
765,122,627,19
389,273,979,20
969,6,980,21
412,945,253,22
285,330,622,23
446,913,14,24
257,584,340,25
264,443,135,26
312,363,523,27
139,933,28,28
321,459,936,29
52,774,259,30
589,682,296,31
416,762,844,32
908,162,917,33
233,902,191,34
455,439,685,35
191,964,2,36
991,6,984,37
558,160,365,38
630,33,997,39
202,223,718,40
286,731,113,41
631,105,872,42
501,244,308,43
123,817,271,44
401,240,905,45
905,427,631,46
121,910,143,47
514,165,767,48
920,430,775,49
204,935,33,50
359,536,799,51
536,28,939,52
110,925,112,53
123,790,50,54
700,632,260,55
608,246,895,56
627,625,847,57
785,923,229,58
304,172,805,59
25,579,196,60
673,491,980,61
787,556,437,62
24,627,596,63
900,187,907,64
936,216,634,65
101,905,197,66
795,494,699,67
493,271,849,68
323,135,790,69
953,4,573,70
745,63,992,71
532,745,358,72
390,902,266,73
84,930,40,74
359,742,768,75
496,640,531,76
650,544,238,77
403,513,567,78
496,300,865,79
823,51,950,80
957,92,775,81
508,111,825,82
837,709,145,83
142,810,282,84
968,398,907,85
174,675,542,86
603,763,345,87
404,465,346,88
994,29,866,89
836,62,242,90
238,980,28,91
991,54,937,92
16,987,133,93
789,165,726,94
660,501,924,95
455,831,358,96
918,81,933,97
67,967,4,98
906,282,683,99
397,288,788,100
